family,seed,variant,ade,baseline_ade,gain_pct,hard_gain_pct,easy_degradation_pct,easy_ade,easy_baseline_ade,positive_harm,switch_pct_all_past_supported,fde,fde_gain_pct,complete_ade_rows,physical_scenes,scene_ci_status,easy_pass,positive_primary_gain
skip,17,linear_bound1,6.076588774733858,6.075960185633012,-0.010345510530691552,0.0023133901804226658,162.011924214584,0.008464354753528556,0.0032305227248346034,0.0011745811200781612,9.490403706154863,14.12914281277836,0.0032106235769716342,28324,1,not_run_insufficient_physical_scenes,False,False
skip,17,linear_bound10,6.078252785265815,6.075960185633012,-0.03773230177221537,-0.00026869740373467046,473.8101998891671,0.018537068904838406,0.0032305227248346034,0.003173687839024956,14.911978821972205,14.128843479673693,0.005329106617128285,28324,1,not_run_insufficient_physical_scenes,False,False
skip,17,mlp_bound1,6.078038852472049,6.075960185633012,-0.03421133081075146,0.008467005550598507,532.2267029413462,0.020424227310992752,0.0032305227248346034,0.0034295086508425087,18.215751158173397,14.128209407713479,0.009816651339065025,28324,1,not_run_insufficient_physical_scenes,False,False
skip,17,mlp_bound10,6.090917780497224,6.075960185633012,-0.24617664380981572,-0.022343601256942097,2743.692871938474,0.0918661444524742,0.0032305227248346034,0.016195578595664773,15.57908669755129,14.130052216005245,-0.0032255349460208003,28324,1,not_run_insufficient_physical_scenes,False,False
skip,29,linear_bound1,6.118941205964318,6.075960185633012,-0.7073947000662874,-0.06417903734268392,7868.8259841434065,0.25743473432027747,0.0032305227248346034,0.04471232594011397,12.394440767703507,14.160407363935342,-0.21805932736199274,28324,1,not_run_insufficient_physical_scenes,False,False
skip,29,linear_bound10,6.108885212490992,6.075960185633012,-0.5418901021740197,-0.011228733134290847,6536.94891560922,0.2144081429544196,0.0032305227248346034,0.03926724891524756,56.31767041694242,14.149249780914962,-0.1390932857540209,28324,1,not_run_insufficient_physical_scenes,False,False
skip,29,mlp_bound1,6.096885684673535,6.075960185633012,-0.3443982251562875,-0.030550868599959292,3839.7723716419214,0.12727524177264748,0.0032305227248346034,0.021957562464781553,7.700860357379219,14.144232584104152,-0.10358486324045686,28324,1,not_run_insufficient_physical_scenes,False,False
skip,29,mlp_bound10,6.089158894658806,6.075960185633012,-0.21722836592976447,-0.02358015823778166,2372.011994057999,0.07985890922868069,0.0032305227248346034,0.014135923012364956,8.5638649900728,14.138451936086243,-0.06267323470320951,28324,1,not_run_insufficient_physical_scenes,False,False
skip,43,linear_bound1,6.094080668933074,6.075960185633012,-0.29823242329515093,-0.017378650356942135,3436.3682539541715,0.11424318007782619,0.0032305227248346034,0.01850872720704365,7.28259430840503,14.16275642710738,-0.23468445305849578,28324,1,not_run_insufficient_physical_scenes,False,False
skip,43,linear_bound10,6.087611897484146,6.075960185633012,-0.19176741609804024,-0.006063117188461997,2280.976692370517,0.07691799312004484,0.0032305227248346034,0.012328767965640426,13.58835208471211,14.150979186190304,-0.15133287999949666,28324,1,not_run_insufficient_physical_scenes,False,False
skip,43,mlp_bound1,6.076936575739148,6.075960185633012,-0.01606972521716351,0.008905987928608378,314.28531231657803,0.013383581160039064,0.0032305227248346034,0.0020955849106542124,20.145598941098612,14.131258594049598,-0.01176348610186901,28324,1,not_run_insufficient_physical_scenes,False,False
skip,43,mlp_bound10,6.083213445314874,6.075960185633012,-0.1193763530414845,-0.0021564952488069473,1437.9237326079783,0.0496829756725253,0.0032305227248346034,0.007772451733862558,10.297816015883521,14.142616322177048,-0.09214602327377398,28324,1,not_run_insufficient_physical_scenes,False,False
bounded,17,linear_bound1,6.071831544787259,6.075960185633012,0.0679504262637446,0.06408982446293561,32.906706304566065,0.004293581349998191,0.0032305227248346034,0.003642456886441131,86.85638649900727,14.118705879232781,0.0770763816998989,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,17,linear_bound10,6.0716215713319475,6.075960185633012,0.07140623322917393,0.0701328623511261,42.3674452604624,0.004599212671905702,0.0032305227248346034,0.004113634346531311,85.26538716082065,14.118182845697266,0.0807780694088239,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,17,mlp_bound1,6.071682196453733,6.075960185633012,0.07040844654305983,0.07088985675160632,53.86710794918182,0.004970711888344109,0.0032305227248346034,0.00462714607047331,81.57511581733951,14.118594603899162,0.07786391539859364,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,17,mlp_bound10,6.07206510457959,6.075960185633012,0.06410642819274531,0.06134210122103044,31.38673004735554,0.004244478171596915,0.0032305227248346034,0.0023352581037780237,57.28656518861681,14.119651848153023,0.07038143522455519,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,29,linear_bound1,6.072028762756624,6.075960185633012,0.06470455296406973,0.0633341241441961,51.62942715593479,0.004898423101809005,0.0032305227248346034,0.0038925420473624787,57.00595632031767,14.119374503799811,0.07234429632945778,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,29,linear_bound10,6.070828920427408,6.075960185633012,0.08445192280452697,0.0925765423515353,77.91731816440188,0.005747659394717286,0.0032305227248346034,0.007134683794496717,75.34877564526803,14.116015272855792,0.09611872579251379,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,29,mlp_bound1,6.074746890699721,6.075960185633012,0.019968776888300604,0.020496156016065574,14.398051575266393,0.003695655052906991,0.0032305227248346034,0.0007677365979304286,10.493712772998014,14.126850141436588,0.019436644950696257,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,29,mlp_bound10,6.072792217266126,6.075960185633012,0.05213938653478107,0.051084924761272604,28.37082177251964,0.004147048569418174,0.0032305227248346034,0.0018604704244664504,28.473858371939116,14.122129594230445,0.052845576473929075,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,43,linear_bound1,6.071965024609972,6.075960185633012,0.06575357475986744,0.0672292523985923,63.300389389414505,0.005275456188968431,0.0032305227248346034,0.004922064979846898,83.16346790205162,14.118973696320705,0.07518094831888171,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,43,linear_bound10,6.072056243097481,6.075960185633012,0.06425227315943789,0.06870372367068846,78.26038356313377,0.005758742200384364,0.0032305227248346034,0.0054090412902010054,81.70218398411649,14.119267148432401,0.07310408708290814,28324,1,not_run_insufficient_physical_scenes,False,True
bounded,43,mlp_bound1,6.072421282703088,6.075960185633012,0.058244340347923654,0.06603358867613408,96.95983217281098,0.006362832137138755,0.0032305227248346034,0.005600505956319232,72.84182660489742,14.120232722113153,0.06627039099384184,28324,1,not_run_insufficient_physical_scenes,False,True
