seed,candidate,arm,subset,metric,status,count,baseline_error,selected_error,improvement_pct,degradation_fraction,mean_excess_over_floor,switch_rate_valid_labels
17,seed17_ridge_conservative,floor,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,independent,all,ade,evaluated,33686,1.693476048391338,1.7809603193103256,-5.1659585621001485,0.05165958562100149,0.08748427091898758,0.07359140295671793
17,seed17_ridge_conservative,independent,all,fde,evaluated,33690,3.1558455469375857,3.18139958100909,-0.8097365251699928,0.008097365251699929,0.02555403407150436,0.07358266547937073
17,seed17_ridge_conservative,independent,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.556250137254092,-36188.288642496904,361.88288642496906,0.5547172731867502,0.08212892865336087
17,seed17_ridge_conservative,independent,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.1726318608452294,-7035.010938231051,70.3501093823105,0.17021235704432802,0.08212892865336087
17,seed17_ridge_conservative,independent,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.479927840043068,-0.6791323366634258,0.006791323366634258,0.023473896432934627,0.07275561097256858
17,seed17_ridge_conservative,independent,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.423229586864801,-0.07222455667902987,0.0007222455667902987,0.0046358009069358275,0.07275561097256858
17,seed17_ridge_conservative,independent_count_reference,all,ade,evaluated,33686,1.693476048391338,1.7809603193103256,-5.1659585621001485,0.05165958562100149,0.08748427091898758,0.07359140295671793
17,seed17_ridge_conservative,independent_count_reference,all,fde,evaluated,33690,3.1558455469375857,3.18139958100909,-0.8097365251699928,0.008097365251699929,0.02555403407150436,0.07358266547937073
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.556250137254092,-36188.288642496904,361.88288642496906,0.5547172731867502,0.08212892865336087
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.1726318608452294,-7035.010938231051,70.3501093823105,0.17021235704432802,0.08212892865336087
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.479927840043068,-0.6791323366634258,0.006791323366634258,0.023473896432934627,0.07275561097256858
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.423229586864801,-0.07222455667902987,0.0007222455667902987,0.0046358009069358275,0.07275561097256858
17,seed17_ridge_conservative,joint,all,ade,evaluated,33686,1.693476048391338,1.7809603193103256,-5.1659585621001485,0.05165958562100149,0.08748427091898758,0.07359140295671793
17,seed17_ridge_conservative,joint,all,fde,evaluated,33690,3.1558455469375857,3.18139958100909,-0.8097365251699928,0.008097365251699929,0.02555403407150436,0.07358266547937073
17,seed17_ridge_conservative,joint,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.556250137254092,-36188.288642496904,361.88288642496906,0.5547172731867502,0.08212892865336087
17,seed17_ridge_conservative,joint,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.1726318608452294,-7035.010938231051,70.3501093823105,0.17021235704432802,0.08212892865336087
17,seed17_ridge_conservative,joint,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.479927840043068,-0.6791323366634258,0.006791323366634258,0.023473896432934627,0.07275561097256858
17,seed17_ridge_conservative,joint,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.423229586864801,-0.07222455667902987,0.0007222455667902987,0.0046358009069358275,0.07275561097256858
17,seed17_ridge_conservative,joint_exact_count,all,ade,evaluated,33686,1.693476048391338,1.7809603193103256,-5.1659585621001485,0.05165958562100149,0.08748427091898758,0.07359140295671793
17,seed17_ridge_conservative,joint_exact_count,all,fde,evaluated,33690,3.1558455469375857,3.18139958100909,-0.8097365251699928,0.008097365251699929,0.02555403407150436,0.07358266547937073
