seed,candidate,arm,subset,metric,status,count,baseline_error,selected_error,improvement_pct,degradation_fraction,mean_excess_over_floor,switch_rate_valid_labels
17,seed17_ridge_conservative,floor,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,independent,all,ade,evaluated,33686,1.693476048391338,1.7077769633574686,-0.8444710499280638,0.008444710499280637,0.014300914966130618,0.09060143679867007
17,seed17_ridge_conservative,independent,all,fde,evaluated,33690,3.1558455469375857,3.1689431637355803,-0.41502718061422383,0.0041502718061422385,0.013097616797994593,0.09059067972692193
17,seed17_ridge_conservative,independent,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.08217469328990533,-5260.859781416263,52.60859781416263,0.08064182922256358,0.10506997017664602
17,seed17_ridge_conservative,independent,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.08023264215152291,-3216.0783678716475,32.16078367871648,0.07781313835062154,0.10506997017664602
17,seed17_ridge_conservative,independent,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.461140622786262,-0.13559211991795217,0.0013559211991795218,0.004686679176128639,0.09189526184538653
17,seed17_ridge_conservative,independent,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.421898655340301,-0.05148899420408101,0.0005148899420408101,0.0033048693824353492,0.09189526184538653
17,seed17_ridge_conservative,independent_count_reference,all,ade,evaluated,33686,1.693476048391338,1.7077769633574686,-0.8444710499280638,0.008444710499280637,0.014300914966130618,0.09060143679867007
17,seed17_ridge_conservative,independent_count_reference,all,fde,evaluated,33690,3.1558455469375857,3.1689431637355803,-0.41502718061422383,0.0041502718061422385,0.013097616797994593,0.09059067972692193
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.08217469328990533,-5260.859781416263,52.60859781416263,0.08064182922256358,0.10506997017664602
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.08023264215152291,-3216.0783678716475,32.16078367871648,0.07781313835062154,0.10506997017664602
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.461140622786262,-0.13559211991795217,0.0013559211991795218,0.004686679176128639,0.09189526184538653
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.421898655340301,-0.05148899420408101,0.0005148899420408101,0.0033048693824353492,0.09189526184538653
17,seed17_ridge_conservative,joint,all,ade,evaluated,33686,1.693476048391338,1.7077769633574686,-0.8444710499280638,0.008444710499280637,0.014300914966130618,0.09060143679867007
17,seed17_ridge_conservative,joint,all,fde,evaluated,33690,3.1558455469375857,3.1689431637355803,-0.41502718061422383,0.0041502718061422385,0.013097616797994593,0.09059067972692193
17,seed17_ridge_conservative,joint,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.08217469328990533,-5260.859781416263,52.60859781416263,0.08064182922256358,0.10506997017664602
17,seed17_ridge_conservative,joint,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.08023264215152291,-3216.0783678716475,32.16078367871648,0.07781313835062154,0.10506997017664602
17,seed17_ridge_conservative,joint,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.461140622786262,-0.13559211991795217,0.0013559211991795218,0.004686679176128639,0.09189526184538653
17,seed17_ridge_conservative,joint,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.421898655340301,-0.05148899420408101,0.0005148899420408101,0.0033048693824353492,0.09189526184538653
17,seed17_ridge_conservative,joint_exact_count,all,ade,evaluated,33686,1.693476048391338,1.7077769633574686,-0.8444710499280638,0.008444710499280637,0.014300914966130618,0.09060143679867007
