policy,ADE_gain_percent,ADE_CI_low,ADE_CI_high,FDE_gain_percent,hard_gain_percent,worst_site_seed_easy_degradation_percent,switch_percent,zero_CV_harmed,unknown_selected,incomplete_selected
damped_velocity_005__floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
damped_velocity_005__net_stop,5.281167632728537,3.9558913413655254,6.606443924091549,5.608118717485352,8.241734704456494,13.523158942904745,26.893344561020204,3,2011,24659
damped_velocity_005__strict_stop,3.634682690175844,2.6422692738600757,4.685964407975451,4.649955325383234,4.723212203027554,2.49439089976351,12.252023638832624,0,857,9776
damped_velocity_005__pointwise,0.12405193542864013,0.02317214654763422,0.2850477403262275,0.1730313347173329,0.0003629427327761503,0.0,1.4592199792136067,0,0,328
damped_velocity_005__aggregate_selected,0.1912580449139778,0.027596889315362194,0.47111754718371923,0.2670119793811654,0.002162889066104068,0.0,1.8061023995387544,0,1,380
damped_velocity_005__aggregate_population,0.9204298031323388,0.4872827164094429,1.5328703539885498,1.2091778591349884,0.6221249493082115,0.0,6.021036740329396,0,209,3194
damped_velocity_005__scene_uniform,0.000595668188360654,0.0,0.001191336376721308,0.0008293167515965871,0.0,0.0,0.014224265458931701,0,0,0
damped_velocity_005__aggregate_unary,0.9198700135917309,0.48706255875284876,1.5318399310169568,1.2082535920493853,0.6217236062736553,0.0,6.0191401716015385,0,209,3190
damped_velocity_005__aggregate_joint,0.9198124081479908,0.48706255875284876,1.5316719421143263,1.208175490907268,0.6217236062736553,0.0,6.0191401716015385,0,209,3190
transformer__floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
transformer__net_stop,8.37914591535389,6.729993859539871,9.935973210495353,9.257455367932241,10.251325488976534,21.732633911349563,54.364952927164175,21,3967,50943
transformer__strict_stop,2.43682666074754,1.6792440292285882,3.111364306600029,2.694479605967964,2.291813184107186,1.066900162011275,6.67554260831304,0,387,4960
transformer__pointwise,0.013424164817674167,0.0023143968750360955,0.031447857944547075,0.015165233095026931,4.7692649662867126e-05,0.0,0.23214001228976536,0,6,88
transformer__aggregate_selected,0.016986076453398558,0.0027072071060563196,0.041099087501569875,0.01963453448642072,0.00014500315456411617,0.0,0.2600195725892715,0,6,92
transformer__aggregate_population,1.2756047664914423,0.5632285933417164,2.111775163761392,1.3868991658798486,0.6388292591851613,0.11538821335266292,10.721492675451573,2,576,7195
transformer__scene_uniform,0.00010204481152575884,0.0,0.00020408962305151768,0.00013858955128787098,3.889263988643421e-06,0.0,0.007396618038644484,0,0,0
transformer__aggregate_unary,1.2727282094681742,0.56108508428728,2.1087086885626327,1.3835850290237288,0.6370916158142448,0.09407548993898285,10.71409605741293,2,573,7193
transformer__aggregate_joint,1.272736766914706,0.5610686751632177,2.1087336551332267,1.3836226487247638,0.6370698971527256,0.09407548993898285,10.712768459303428,2,571,7188
eqmotion__floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
eqmotion__net_stop,11.0065270205705,8.853700100060797,13.159353941080205,11.749071158521001,13.330014415520306,40.94488259287077,69.16160282816328,21,5236,66006
eqmotion__strict_stop,1.6093050489115466,0.7162681896853484,3.039280619820001,1.7306400500360086,0.5271317871413939,0.45216089635244927,3.9264662372835066,0,104,1729
eqmotion__pointwise,0.0013396633081391718,0.0005001781941182948,0.0024170343474100298,0.0014012174838429203,0.0,0.0,0.009862157384859313,0,0,1
eqmotion__aggregate_selected,0.0013396633081391718,0.0005001781941182948,0.0024170343474100298,0.0014012174838429203,0.0,0.0,0.009862157384859313,0,0,1
eqmotion__aggregate_population,0.955127998469471,0.35361815271096053,1.6286587796301155,0.9869338635849795,0.25040454713598503,0.03806123130098982,4.421281018381544,0,172,2583
eqmotion__scene_uniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
eqmotion__aggregate_unary,0.9539857319258188,0.35251611690190754,1.6268259940963454,0.9861625671701596,0.2502643758318879,0.03806123130098982,4.418056851544186,0,171,2574
eqmotion__aggregate_joint,0.9539243661036534,0.35244553491451946,1.6267907031026514,0.9860757672024156,0.2502643758318879,0.03806123130098982,4.418056851544186,0,171,2574
