policy,seed,subset,site,rows,model_error,reference_error,absolute_harm,gain_percent,model_p95,model_p99,reference_p95,status
damped_velocity_005__floor,17,all,coupa,27778,11.908205875359586,11.908205875359586,0.0,0.0,45.2720158430477,77.69192946370413,45.2720158430477,defined
damped_velocity_005__floor,17,all,deathCircle,35760,24.81068191340851,24.81068191340851,0.0,0.0,74.1003428865828,186.71668884635787,74.1003428865828,defined
damped_velocity_005__floor,17,all,gates,20236,19.761524366102755,19.761524366102755,0.0,0.0,63.51413075556157,119.37381405539219,63.51413075556157,defined
damped_velocity_005__floor,17,all,hyang,89183,15.923360932222653,15.923360932222653,0.0,0.0,48.7622634939038,89.31745547278106,48.7622634939038,defined
damped_velocity_005__floor,17,complete,coupa,24834,11.91138462404965,11.91138462404965,0.0,0.0,46.686806643226895,80.40344616150492,46.686806643226895,defined
damped_velocity_005__floor,17,complete,deathCircle,27394,27.410282071573928,27.410282071573928,0.0,0.0,77.00976659652929,186.96553273984352,77.00976659652929,defined
damped_velocity_005__floor,17,complete,gates,15281,21.857657394899473,21.857657394899473,0.0,0.0,67.08977164913256,122.41314224932498,67.08977164913256,defined
damped_velocity_005__floor,17,complete,hyang,76409,16.87458958863734,16.87458958863734,0.0,0.0,51.00479833178511,91.37704807716683,51.00479833178511,defined
damped_velocity_005__floor,17,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__floor,17,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__floor,17,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__floor,17,zero_CV,hyang,4554,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__floor,17,positive_easy,coupa,11220,2.2054217761071366,2.2054217761071366,0.0,0.0,5.688593111585037,6.125000007450581,5.688593111585037,defined
damped_velocity_005__floor,17,positive_easy,deathCircle,4581,2.6720498000786166,2.6720498000786166,0.0,0.0,4.73875633966901,4.964727692325079,4.73875633966901,defined
damped_velocity_005__floor,17,positive_easy,gates,2923,2.8291753670221667,2.8291753670221667,0.0,0.0,5.050768113241588,5.230939722866429,5.050768113241588,defined
damped_velocity_005__floor,17,positive_easy,hyang,19679,2.6604463533503466,2.6604463533503466,0.0,0.0,5.0852898573061935,5.289945462088267,5.0852898573061935,defined
