view,action,net_count,joint_count,blocked_net_count,predicted_zero_easy_denominator,net_joint_risk_ratio_median,net_joint_risk_ratio_p10,net_joint_exceeds_product_count,complete_net_beneficial_hard,complete_joint_beneficial_hard,complete_net_beneficial_hard_gain_sum,complete_joint_beneficial_hard_gain_sum
coupa_seed17,damped_velocity_005,6980,1003,5977,0,0.9984407111813134,0.013036385167310446,6124,1291,3,16611.221879004006,2.9914479685606175
coupa_seed17,transformer,14223,52,14171,0,0.33215794143199867,0.06293220731792215,14019,2545,1,22245.752827447803,0.12151563879012883
coupa_seed17,eqmotion,15255,0,15255,0,0.5849702650017853,0.12350925054581942,14940,2648,0,30078.176923225117,0.0
coupa_seed29,damped_velocity_005,6770,1048,5722,0,0.6906349950153925,0.010477576529756984,5786,1254,3,16278.310431630303,2.9914479685606175
coupa_seed29,transformer,12576,26,12550,0,0.457152034944497,0.07570165643553661,12286,2296,1,21949.066586296503,0.17814865034472405
coupa_seed29,eqmotion,14467,0,14467,0,0.6466370719414197,0.14338650137866712,14206,2468,0,28344.358697055395,0.0
coupa_seed43,damped_velocity_005,7085,1099,5986,0,1.1354746524833403,0.01247002049028445,5959,1295,4,16635.64518399161,3.914179041260933
coupa_seed43,transformer,13335,261,13074,0,0.42078556915592635,0.04792449350304182,12708,2408,0,21625.566977421455,0.0
coupa_seed43,eqmotion,14960,1,14959,0,0.5915475322141379,0.12441181645450607,14674,2589,0,28872.41465951792,0.0
deathCircle_seed17,damped_velocity_005,10358,171,10187,0,2.7214400073239404,0.14608450785861504,10109,3826,5,61698.47833723549,2.9252907849761414
deathCircle_seed17,transformer,16207,256,15951,0,0.6035886832631338,0.0732346454426398,15878,5510,48,39100.99886527571,8.274614511036848
deathCircle_seed17,eqmotion,25565,1,25564,0,1.4561657325597768,0.31155736238293574,25520,7294,0,93471.57085888201,0.0
deathCircle_seed29,damped_velocity_005,10241,180,10061,0,2.749914116395697,0.1609958061645714,9991,3786,5,61454.4726198367,2.9252907849761414
deathCircle_seed29,transformer,16761,111,16650,0,0.6574988998645563,0.10366382118593324,16643,5608,21,51513.33543158686,2.732991087441075
deathCircle_seed29,eqmotion,24976,3,24973,0,1.4597793621674626,0.32842625833460576,24918,7155,0,94356.25460073803,0.0
deathCircle_seed43,damped_velocity_005,11381,191,11190,0,2.7525525631372885,0.18052187092897704,11078,4085,4,64077.83426220077,2.014027263099102
deathCircle_seed43,transformer,16412,157,16255,0,0.636159160780729,0.09858967677376389,16353,5549,23,42790.21114266134,4.25890414597799
deathCircle_seed43,eqmotion,25853,13,25840,0,1.3956439806958112,0.2889092792405462,25760,7360,0,97556.48389161777,0.0
gates_seed17,damped_velocity_005,5280,140,5140,0,3.396028224723668,0.11527023702433738,5196,1547,2,20848.359523523366,0.7379618534468548
gates_seed17,transformer,13855,1,13854,0,0.7078890977084331,0.1631763112645378,13840,3429,0,30891.984530924703,0.0
gates_seed17,eqmotion,15216,6,15210,0,1.3127082207207188,0.29170243700370896,15202,3571,0,41907.49906290283,0.0
gates_seed29,damped_velocity_005,4596,141,4455,0,3.2655510317728376,0.11139920917609068,4526,1398,2,19403.997913459767,0.7379618534468548
gates_seed29,transformer,13297,0,13297,0,0.629406988211162,0.16445750050834324,13285,3330,0,29007.45247794884,0.0
gates_seed29,eqmotion,15389,4,15385,0,1.3200001511382151,0.29729072057911876,15370,3551,0,41340.023468932384,0.0
gates_seed43,damped_velocity_005,4917,141,4776,0,3.2661009093993396,0.10614967170312453,4841,1455,2,19777.596672528984,0.7379618534468548
gates_seed43,transformer,13709,3,13706,0,0.5815206347958909,0.14568317344355555,13686,3412,0,29269.475795133425,0.0
gates_seed43,eqmotion,15794,8,15786,0,1.2419758477639555,0.27092061218356894,15777,3621,0,41183.15944732567,0.0
hyang_seed17,damped_velocity_005,24788,1240,23548,0,2.2777566090771497,0.0785575629757773,23475,6487,8,82909.5702524026,6.087830488788104
hyang_seed17,transformer,54950,174,54776,0,0.60862826671842,0.13217111247218288,54342,10999,5,128127.72088654638,2.260838843501052
hyang_seed17,eqmotion,63537,2,63535,0,0.8980818768982328,0.26000094318639766,63385,12022,0,168100.3878086718,0.0
hyang_seed29,damped_velocity_005,23358,1172,22186,0,2.2828892881700993,0.07933659461436132,22496,6307,8,81278.8469853576,6.087830488788104
hyang_seed29,transformer,52380,121,52259,0,0.5340117563299895,0.13291829489953574,51826,10891,9,123353.43380196602,2.5534132091013966
hyang_seed29,eqmotion,66822,6,66816,0,0.8784315108975984,0.2494453960577477,66757,12285,0,166123.05564467434,0.0
hyang_seed43,damped_velocity_005,26046,1168,24878,0,2.350588807532374,0.0897370591243013,25017,6673,7,83985.27096018166,5.0052096207779435
hyang_seed43,transformer,48944,62,48882,0,0.6561679173438635,0.16379196340977756,48417,10550,5,126060.97018371051,2.71961204343701
hyang_seed43,eqmotion,66833,8,66825,0,0.8490119517006959,0.23080469820683044,66657,12242,0,168038.80694683854,0.0
