policy,comparison,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
cv_targets__original,ADE_vs_floor,all,eu-locality-007,5526,12.78889741546403,12.974876186915042,1.433376078290205,43.91374371204497,76.74547333801287,44.53593329502612
cv_targets__original,ADE_vs_floor,all,eu-locality-008,157961,17.08391806684599,17.310360041620548,1.3081297802593816,60.62374404800723,126.23005617866085,60.77363039735514
cv_targets__original,ADE_vs_floor,all,eu-locality-020,1225,6.397734560197722,6.453703918433902,0.8672439725087688,20.63072736269522,41.37090371937323,20.63072736269522
cv_targets__original,ADE_vs_floor,all,eu-locality-048,8058,24.77687499998227,25.04006397712567,1.051071504385237,84.32822437168585,148.5004334407513,84.77644777499424
cv_targets__original,ADE_vs_floor,all,eu-locality-067,6903,26.950412405321092,27.316252363581988,1.339275803252693,88.67424623165155,154.83471062234412,88.78448286947457
cv_targets__original,ADE_vs_floor,all,eu-locality-110,8550,28.588490599011664,29.06948335408015,1.654631247517424,115.95375139943114,259.95968966626083,116.85239857000487
cv_targets__original,ADE_vs_floor,all,eu-locality-119,5639,27.306355886203043,27.551822688667723,0.8909276356719675,108.26550475649688,192.3509497540389,108.43799131047149
cv_targets__original,ADE_vs_floor,all,eu-locality-124,3550,40.68602503184979,41.20235833047124,1.253164429278797,178.19707673030945,334.55067044545154,182.70620705979104
cv_targets__original,ADE_vs_floor,easy,eu-locality-007,2133,1.7337962857003137,1.8219289613908256,4.837327775021105,4.151748787205072,4.920901803275682,4.230345133365256
cv_targets__original,ADE_vs_floor,easy,eu-locality-008,52276,2.0912125522481326,2.24421211344112,6.817517839630072,4.148556582945595,4.765391972631553,4.260181371097664
cv_targets__original,ADE_vs_floor,easy,eu-locality-020,695,1.6797249097888851,1.714816508799578,2.0463763225173293,4.357367994839923,6.369592718595578,4.367811127405618
cv_targets__original,ADE_vs_floor,easy,eu-locality-048,2050,2.0607233670843588,2.1864603155211566,5.7507080071026895,4.23299982099332,4.775417317219665,4.279426052271072
cv_targets__original,ADE_vs_floor,easy,eu-locality-067,1508,2.0138383296413838,2.0817024330364133,3.260029018462629,4.328563905319695,5.433795102648117,4.369122159901785
cv_targets__original,ADE_vs_floor,easy,eu-locality-110,2579,2.035507843841304,2.2142889877207317,8.073975206978535,3.995321033441541,4.588903473001199,4.204662309065635
cv_targets__original,ADE_vs_floor,easy,eu-locality-119,1658,2.14447443806715,2.274132807520816,5.701442282740521,4.209513972076153,5.970655941092775,4.268800105084812
cv_targets__original,ADE_vs_floor,easy,eu-locality-124,1006,2.252998926212277,2.445226719804127,7.861348480898666,4.180078323556514,4.735168905573619,4.331802122080924
cv_targets__original,ADE_vs_floor,hard,eu-locality-007,1023,38.49109264182182,39.11681576409787,1.5996269380657235,77.7601210112468,106.93881724198937,79.09141428093004
cv_targets__original,ADE_vs_floor,hard,eu-locality-008,36762,49.27204821916093,49.60410727101644,0.6694184617440535,118.79267977674958,203.24472994223123,119.58938343541159
cv_targets__original,ADE_vs_floor,hard,eu-locality-020,47,36.92354931828993,36.92354931828993,0.0,60.52355224102176,69.16719818649797,60.52355224102176
cv_targets__original,ADE_vs_floor,hard,eu-locality-048,2992,53.22121488279945,53.71464249619353,0.9186091361011006,122.35551401388845,200.41270813697986,122.60258245083135
cv_targets__original,ADE_vs_floor,hard,eu-locality-067,2806,53.790613386767276,54.56748907946629,1.4236969774578667,126.76220620158645,198.92434816893777,126.52131502707327
cv_targets__original,ADE_vs_floor,hard,eu-locality-110,2743,74.91660793077055,75.71983632200313,1.0607899201165782,214.44871024777535,380.35594110435846,216.0693714569461
cv_targets__original,ADE_vs_floor,hard,eu-locality-119,1895,66.91884494070099,67.30155948865561,0.5686562850287791,171.85187026049437,271.3240241994853,171.85187026049437
cv_targets__original,ADE_vs_floor,hard,eu-locality-124,1362,94.74100371809904,95.6305131283049,0.9301522925140304,269.89921469355284,421.2415359066349,274.4684238324386
cv_targets__original,ADE_vs_floor,complete,eu-locality-007,2882,12.64362337688022,12.92000036038779,2.1391406795539414,44.91845305630337,76.86890219592341,45.982202665686515
cv_targets__original,ADE_vs_floor,complete,eu-locality-008,97352,15.33737156204711,15.602690137792878,1.7004668643845755,55.879673738646304,114.02385448093194,55.93037708188954
cv_targets__original,ADE_vs_floor,complete,eu-locality-020,364,6.820847701992948,6.9019825286040675,1.1755292957475683,22.682718227503177,49.70629992513765,22.682718227503177
cv_targets__original,ADE_vs_floor,complete,eu-locality-048,4716,24.36859171213214,24.689171595597593,1.2984635074698714,86.55480133029045,149.36088985685478,87.5871702676999
cv_targets__original,ADE_vs_floor,complete,eu-locality-067,3417,27.54941426702566,28.011435479709043,1.6494021272778436,87.49455596529795,150.0665999659543,87.49455596529795
cv_targets__original,ADE_vs_floor,complete,eu-locality-110,5804,26.372956733643036,26.93425359592777,2.0839517987221945,108.80979533687542,260.2202513909598,109.83042543804812
cv_targets__original,ADE_vs_floor,complete,eu-locality-119,3148,26.39396248702504,26.737944969333405,1.2864955878355344,102.43155573476253,188.83867927511324,102.43155573476253
cv_targets__original,ADE_vs_floor,complete,eu-locality-124,2077,36.65817890064794,37.245512817043696,1.5769253044812137,165.80020306100556,315.79700044017295,171.59254389597885
cv_targets__original,ADE_vs_original,all,eu-locality-007,5526,12.78889741546403,12.78889741546403,0.0,43.91374371204497,76.74547333801287,43.91374371204497
cv_targets__original,ADE_vs_original,all,eu-locality-008,157961,17.08391806684599,17.08391806684599,0.0,60.62374404800723,126.23005617866085,60.62374404800723
cv_targets__original,ADE_vs_original,all,eu-locality-020,1225,6.397734560197722,6.397734560197722,0.0,20.63072736269522,41.37090371937323,20.63072736269522
