group,subset,component,mean_pp,low_pp,high_pp
neural_fold0_seed17_all,all,full_total,0.12833746071270175,-0.12136952174326762,0.36583150197130304
neural_fold0_seed17_all,all,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,all,total,0.12833746071270175,-0.12136952174326762,0.36583150197130304
neural_fold0_seed17_all,all,ranking_at_control_count,0.20214380233546245,-0.006396736883128499,0.40867180730243546
neural_fold0_seed17_all,all,ranking_at_treatment_count,0.20955084055504902,0.03287006471750461,0.3887762348133174
neural_fold0_seed17_all,all,coverage_with_treatment_ranking,-0.07380634162276077,-0.1886903157859702,0.02530610248644516
neural_fold0_seed17_all,all,coverage_with_control_ranking,-0.08121337984234735,-0.2023482610393019,0.023449819612499426
neural_fold0_seed17_all,easy,full_total,-0.24756246331714826,-0.6266590170251662,0.08385386914951233
neural_fold0_seed17_all,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,easy,total,-0.24756246331714826,-0.6266590170251662,0.08385386914951233
neural_fold0_seed17_all,easy,ranking_at_control_count,-0.24911426829796618,-0.6280671547599443,0.07768536839726158
neural_fold0_seed17_all,easy,ranking_at_treatment_count,-0.2840612786815166,-0.641462966003354,0.012914566854880795
neural_fold0_seed17_all,easy,coverage_with_treatment_ranking,0.001551804980818001,-0.017377075101189875,0.023075088826532635
neural_fold0_seed17_all,easy,coverage_with_control_ranking,0.03649881536436838,-0.003920619153470143,0.08292851952410646
neural_fold0_seed17_all,hard,full_total,0.21161196527987744,-0.03276254971290868,0.4536317770568148
neural_fold0_seed17_all,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,hard,total,0.21161196527987744,-0.03276254971290868,0.4536317770568148
neural_fold0_seed17_all,hard,ranking_at_control_count,0.3129649888715506,0.12828963156888074,0.5082433788636701
neural_fold0_seed17_all,hard,ranking_at_treatment_count,0.3917226230954226,0.20185572964057946,0.5750217678249057
neural_fold0_seed17_all,hard,coverage_with_treatment_ranking,-0.10135302359167313,-0.2548116099561785,0.02865232645302827
neural_fold0_seed17_all,hard,coverage_with_control_ranking,-0.1801106578155452,-0.3836462676295927,-0.0020586680524931644
neural_fold0_seed17_easy,all,full_total,-0.09387698219251307,-0.17128383131541505,-0.03417517863741074
neural_fold0_seed17_easy,all,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,all,total,-0.09387698219251307,-0.17128383131541505,-0.03417517863741074
neural_fold0_seed17_easy,all,ranking_at_control_count,-0.08693985343167301,-0.16606525555410884,-0.029679959633386543
neural_fold0_seed17_easy,all,ranking_at_treatment_count,-0.08582776685346047,-0.16459184238460403,-0.028347340850042244
neural_fold0_seed17_easy,all,coverage_with_treatment_ranking,-0.006937128760840083,-0.018291091750284417,0.0024084419644967558
neural_fold0_seed17_easy,all,coverage_with_control_ranking,-0.008049215339052632,-0.017541861800728684,-0.0003133543544981896
neural_fold0_seed17_easy,easy,full_total,-0.05862583444480667,-0.16410167030212516,0.05416361004047977
neural_fold0_seed17_easy,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,easy,total,-0.05862583444480667,-0.16410167030212516,0.05416361004047977
neural_fold0_seed17_easy,easy,ranking_at_control_count,0.015052395484099496,-0.018454187594567746,0.045847430127103864
neural_fold0_seed17_easy,easy,ranking_at_treatment_count,0.016706961695822246,0.0005646333708770994,0.03368967994551082
neural_fold0_seed17_easy,easy,coverage_with_treatment_ranking,-0.07367822992890616,-0.19689634005970547,0.05619799740008881
neural_fold0_seed17_easy,easy,coverage_with_control_ranking,-0.0753327961406289,-0.18098672226464677,0.03484550882507947
neural_fold0_seed17_easy,hard,full_total,-0.09546915685105173,-0.19338841076897773,-0.013469857481378173
neural_fold0_seed17_easy,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,hard,total,-0.09546915685105173,-0.19338841076897773,-0.013469857481378173
neural_fold0_seed17_easy,hard,ranking_at_control_count,-0.09366451054354528,-0.1919053194497696,-0.012491219323004506
neural_fold0_seed17_easy,hard,ranking_at_treatment_count,-0.09086854050134618,-0.18516550499879775,-0.013300421664426928
neural_fold0_seed17_easy,hard,coverage_with_treatment_ranking,-0.0018046463075064507,-0.004416161954273553,6.667342748081883e-05
neural_fold0_seed17_easy,hard,coverage_with_control_ranking,-0.004600616349705549,-0.013063323174943409,0.0
damping097_fold0_seed17_all,all,full_total,1.0211859119316988,0.6488988217630359,1.3129591701343608
damping097_fold0_seed17_all,all,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_all,all,total,1.0211859119316988,0.6488988217630359,1.3129591701343608
damping097_fold0_seed17_all,all,ranking_at_control_count,0.6413310223149126,0.34946620660575894,0.9078185577172678
damping097_fold0_seed17_all,all,ranking_at_treatment_count,0.5746518483955168,0.43211821863354766,0.7145719538338253
damping097_fold0_seed17_all,all,coverage_with_treatment_ranking,0.3798548896167864,0.24482919195970615,0.5173597492655951
damping097_fold0_seed17_all,all,coverage_with_control_ranking,0.44653406353618214,0.19351416847472672,0.6287774100982028
damping097_fold0_seed17_all,easy,full_total,-0.41216304406300935,-1.0230136161022694,-0.006527133204725561
damping097_fold0_seed17_all,easy,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_all,easy,total,-0.41216304406300935,-1.0230136161022694,-0.006527133204725561
damping097_fold0_seed17_all,easy,ranking_at_control_count,-0.013342508979720589,-0.08608157443367095,0.04975920276007089
damping097_fold0_seed17_all,easy,ranking_at_treatment_count,-0.10638606500225081,-0.33902360586077784,0.05929133984387319
damping097_fold0_seed17_all,easy,coverage_with_treatment_ranking,-0.3988205350832888,-0.974735405372158,-0.02080129929116349
damping097_fold0_seed17_all,easy,coverage_with_control_ranking,-0.30577697906075857,-0.7126890473708583,0.008178494601462274
damping097_fold0_seed17_all,hard,full_total,1.2538460874710005,0.7932109534983336,1.6640977537430264
damping097_fold0_seed17_all,hard,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_all,hard,total,1.2538460874710005,0.7932109534983336,1.6640977537430264
damping097_fold0_seed17_all,hard,ranking_at_control_count,0.7482206013026806,0.2702241762374229,1.1536263807627192
damping097_fold0_seed17_all,hard,ranking_at_treatment_count,0.6608528383775067,0.38949266051013715,0.9175060063314883
damping097_fold0_seed17_all,hard,coverage_with_treatment_ranking,0.50562548616832,0.39178885379249817,0.6153735776296128
damping097_fold0_seed17_all,hard,coverage_with_control_ranking,0.5929932490934939,0.35537328711634353,0.7841434864641015
damping097_fold0_seed17_easy,all,full_total,-0.32387266528790387,-0.4421504427352225,-0.22652796796463398
damping097_fold0_seed17_easy,all,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_easy,all,total,-0.32387266528790387,-0.4421504427352225,-0.22652796796463398
damping097_fold0_seed17_easy,all,ranking_at_control_count,-0.17345093203936224,-0.2591614870000129,-0.10376727021392122
damping097_fold0_seed17_easy,all,ranking_at_treatment_count,-0.12847742308016102,-0.19707238121448606,-0.06997606222495116
damping097_fold0_seed17_easy,all,coverage_with_treatment_ranking,-0.15042173324854163,-0.20577097880655298,-0.10228213160942375
damping097_fold0_seed17_easy,all,coverage_with_control_ranking,-0.19539524220774285,-0.28558021570243197,-0.11870306449143711
damping097_fold0_seed17_easy,easy,full_total,0.012827386140149125,-0.00895016840393506,0.0375138775527863
damping097_fold0_seed17_easy,easy,support_difference,0.0,0.0,0.0
