tag,pair,bank,weighting,bin,mean_target_minus_cap,normalized_mean_target_minus_cap,rows
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_next,registered_risk_weights,0,-0.03793869890192281,-0.6142884792173748,3389
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_next,registered_risk_weights,1,-0.17098937632730707,-1.9255690898043256,2913
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_next,registered_risk_weights,2,-0.5963451132030186,-2.458659827130922,2717
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_next,uniform_positive_envelope,0,-0.028927422650983768,-0.5708827048148476,3007
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_next,uniform_positive_envelope,1,-0.14674360607731157,-1.6932597931639741,3006
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_next,uniform_positive_envelope,2,-0.5414417148326294,-2.325769196943656,3006
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_prev,registered_risk_weights,0,-0.05077122493444385,-1.0015186869510049,2728
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_prev,registered_risk_weights,1,-0.19511949993819042,-1.3257728515792209,3152
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_prev,registered_risk_weights,2,-0.5775516394583669,-2.6840174522610276,3139
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_prev,uniform_positive_envelope,0,-0.05724680000656848,-1.1366687005197924,3007
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_prev,uniform_positive_envelope,1,-0.20251176967278522,-1.4151850421869563,3006
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_prev,uniform_positive_envelope,2,-0.5601584302538097,-2.757673600354167,3006
fold0_seed17_controller1_full_eu-locality-007,full,oof,registered_risk_weights,0,-0.040885677143469565,-0.28694777845601793,3011
fold0_seed17_controller1_full_eu-locality-007,full,oof,registered_risk_weights,1,-0.15807258693377757,-0.9190471631665598,3013
fold0_seed17_controller1_full_eu-locality-007,full,oof,registered_risk_weights,2,-0.49975036353394786,-3.4787487127199688,2995
fold0_seed17_controller1_full_eu-locality-007,full,oof,uniform_positive_envelope,0,-0.038858531431461424,-0.28911072007208233,3007
fold0_seed17_controller1_full_eu-locality-007,full,oof,uniform_positive_envelope,1,-0.1453687482323609,-0.8793157706549568,3006
fold0_seed17_controller1_full_eu-locality-007,full,oof,uniform_positive_envelope,2,-0.4855133913416806,-3.534089701567988,3006
fold0_seed17_controller1_full_eu-locality-007,full,original_in_sample,registered_risk_weights,0,-0.05480949830358535,-0.8105260911237379,3090
fold0_seed17_controller1_full_eu-locality-007,full,original_in_sample,registered_risk_weights,1,-0.16681231371031463,-1.1752669779486533,2997
fold0_seed17_controller1_full_eu-locality-007,full,original_in_sample,registered_risk_weights,2,-0.4801561880101942,-2.243240000792035,2932
fold0_seed17_controller1_full_eu-locality-007,full,original_in_sample,uniform_positive_envelope,0,-0.05067589244593387,-0.8825409539686891,3007
fold0_seed17_controller1_full_eu-locality-007,full,original_in_sample,uniform_positive_envelope,1,-0.15506309679199087,-1.1357739971445446,3006
fold0_seed17_controller1_full_eu-locality-007,full,original_in_sample,uniform_positive_envelope,2,-0.45688626946196464,-2.220467740972627,3006
fold0_seed17_controller1_full_eu-locality-110,full,in_sample_next,registered_risk_weights,0,-0.08697898760579925,-0.77085558803852,2181
fold0_seed17_controller1_full_eu-locality-110,full,in_sample_next,registered_risk_weights,1,-0.2640142382331664,-1.433597310659945,2209
fold0_seed17_controller1_full_eu-locality-110,full,in_sample_next,registered_risk_weights,2,-0.6514837313496722,-2.505658144278066,2289
fold0_seed17_controller1_full_eu-locality-110,full,in_sample_next,uniform_positive_envelope,0,-0.0885181006354699,-0.6163698855854922,2227
