group,action,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold1_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-008,157961,17.451634628991744,17.39461485452092,-0.32780130487342074,62.87302414194277,128.51404258376382,60.901524840130136
fold1_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-020,1225,6.439493951730469,6.454131713950232,0.22679676939538762,20.950455289077674,42.958840384020256,20.840106881217874
fold1_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-048,8058,25.786901478425918,25.144477231120284,-2.5549318102765506,87.73057049295781,157.41281262375918,85.65711123273013
fold1_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-067,6903,27.759314784141008,27.34478547410642,-1.51593549866067,91.30935437858474,165.05475528355058,88.61761282974824
fold1_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-074,102348,19.007863864897327,18.646452258173927,-1.9382325480439277,63.23144042409485,130.82214262899737,61.67655316701959
fold1_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-082,1368,13.435323974091496,13.31492526900714,-0.9042386844228423,51.77887705037489,100.89176991053361,51.33307131828658
fold1_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-112,5004,23.721897963479805,23.67403823868376,-0.20216122113818624,84.75159849780272,185.7800808901213,83.91872194267576
fold1_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-126,5790,19.183798231178837,18.815797357405835,-1.9558080201589778,85.50485641980151,157.09863889864567,82.70914875351129
fold1_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-008,39889,1.5366009382434336,1.7243479527289463,10.888000544691979,2.8777468091938565,3.4011930810888926,3.10302716520485
fold1_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-020,593,1.2241077852665543,1.2634681870928663,3.1152665518929257,3.0318566298574696,3.3279908748399865,3.0462253444924383
fold1_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-048,1582,1.5626612820564845,1.691706559598439,7.628112382125307,3.033568116033023,4.072799562578827,3.080321842954575
fold1_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-067,1219,1.5462550268117954,1.6070554939116386,3.7833458352985905,3.137297774569242,3.4360957796123297,3.125280103751406
fold1_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-074,17048,1.8385125551726027,2.006190904847624,8.358045551390681,3.2519953789774925,5.264497973072901,3.3143761140128665
fold1_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-082,513,1.5060909527345225,1.5710258646135113,4.133280892543645,2.9699561025970858,3.399770284704364,2.9984720219030083
