group,action,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold0_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-007,5526,13.324052066384501,13.03007789912518,-2.256119798631895,44.853057178213376,78.0568218942716,44.69396378264957
fold0_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-008,157961,17.75934428514455,17.303707458293164,-2.6331745838260368,62.99870702844337,129.10221851980813,60.851472194022485
fold0_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-020,1225,6.4355043583114115,6.465710721017629,0.4671777629646767,20.840106881217874,42.958840384020256,20.649557710350873
fold0_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-048,8058,26.07448220218613,25.081786899115574,-3.957833255913523,88.2274736380674,159.1891173653969,84.94302472678147
fold0_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-067,6903,28.16402750621394,27.46038603063451,-2.5623874143446246,91.76020231427337,168.12420050513032,89.6517956862803
fold0_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-110,8550,29.71199452956864,29.15799863842907,-1.899979137832264,119.85599881537743,262.65317121076254,117.19208997565195
fold0_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-119,5639,28.611980776892644,27.707160085187788,-3.265656562862862,114.31522229375783,201.6878989025234,110.34400428139483
fold0_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-124,3550,41.720304590540636,41.28618629430454,-1.0514855819850233,182.80259922586131,333.55000293878123,182.70620705979104
fold0_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-007,2133,1.7892745254700042,1.8208803442437398,1.7357438600317465,4.2726695254370055,4.757717725085546,4.231677560310645
fold0_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-008,52276,2.1516992961098196,2.243755079189184,4.102755418057036,4.326878081247598,4.717159265630691,4.269920362702182
fold0_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-020,695,1.638097935204023,1.7041860561795545,3.8779874260729486,4.272902529712657,4.652831970726819,4.333966156328703
fold0_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-048,2050,2.1137839286250872,2.1853076350211285,3.272935363873819,4.348689395981964,4.737764375542779,4.279426052271072
fold0_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-067,1508,2.01858753072448,2.0760134319354244,2.7661623151160164,4.324303976989682,4.669750317456567,4.333274063846627
fold0_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-110,2579,2.1063017445549814,2.212478061615281,4.798977169644003,4.152546627992886,4.6863952880599795,4.203897765463916
