group,arm,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-007,5526,12.790129797678958,13.03007789912518,1.841493990318599,43.95122125345763,76.43866311332394,44.69396378264957
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-008,157961,17.011497276939146,17.303707458293164,1.6887142946581113,60.449353009022296,125.61507674596953,60.851472194022485
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-020,1225,6.40833343267221,6.465710721017629,0.8874088374988265,20.649557710350873,41.37090371937323,20.649557710350873
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-048,8058,24.696571083614916,25.081786899115574,1.5358388022754466,84.1261050283079,147.49292963797856,84.94302472678147
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-067,6903,26.936399832200536,27.46038603063451,1.9081530676568814,88.5042343006725,162.6235251701382,89.6517956862803
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-110,8550,28.467057680649077,29.15799863842907,2.3696446602798127,114.96035239299536,259.13760229328807,117.19208997565195
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-119,5639,27.45935171672333,27.707160085187788,0.8943838621589206,109.99273377845661,195.19579909519848,110.34400428139483
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-124,3550,40.63456411793265,41.28618629430454,1.5783055662416223,179.88453937909637,333.55000293878123,182.70620705979104
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-007,2133,1.7478873925379084,1.8208803442437398,4.0086627293539845,4.200198112143838,5.0339673780807646,4.231677560310645
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-008,52276,2.0819531220555842,2.243755079189184,7.211212963228997,4.148512843168251,4.7528035873239585,4.269920362702182
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-020,695,1.6723126715843208,1.7041860561795545,1.8702995767191921,4.333966156328703,5.284731095304119,4.333966156328703
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-048,2050,2.0443475186139497,2.1853076350211285,6.450355737022628,4.210687426461756,4.757055109542503,4.279426052271072
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-067,1508,2.0023677468165393,2.0760134319354244,3.5474570629452473,4.328427348215871,5.339863652448991,4.333274063846627
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-110,2579,2.0077266466948354,2.212478061615281,9.254393002702187,3.9370268185757133,4.560634953159135,4.203897765463916
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-119,1658,2.108646922724247,2.2702471919597778,7.118179456750273,4.161233964387031,5.903202900920345,4.2442330009580065
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-124,1006,2.2412361995342716,2.445639210289273,8.357856297651711,4.154128377050374,4.74090412080723,4.3295911457613965
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-007,1023,38.26125521332001,39.29723477145136,2.6362657936531475,78.11265794064077,106.93881724198937,79.09141428093004
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-008,36762,49.067824036265506,49.6651159299373,1.2026386780499942,118.03601449453157,203.1131543206229,119.6000434566927
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-020,47,36.92354931828993,36.92354931828993,0.0,60.52355224102176,69.16719818649797,60.52355224102176
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-048,2992,53.0442133404735,53.792738563058535,1.3914986345370361,120.02547194053922,200.22487872307087,122.60258245083135
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-067,2806,53.72540921157581,54.910481269926386,2.1581891670645836,126.83526510006658,198.92434816893777,127.36920960317892
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-110,2743,74.62756943250518,75.97472072201377,1.7731572774551174,211.62896236269754,380.35594110435846,216.0693714569461
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-119,1895,67.4266761936971,67.75657981295986,0.48689532466579255,172.71391239328824,273.9914452410256,172.71391239328824
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-124,1362,94.67864755457592,95.90581572544342,1.2795555322532293,269.59858359996144,435.0646456287289,274.4684238324386
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-007,2882,12.640141246543452,13.000634704824002,2.7728912200477795,45.2422395820037,76.86890219592341,46.10523368271999
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-008,97352,15.27263376492662,15.598244315124525,2.087482050029066,55.64762965818929,113.78352408818913,55.94798986313879
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-020,364,6.827044076206716,6.916345990279542,1.291171873100816,22.682718227503177,49.70629992513765,22.682718227503177
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-048,4716,24.30671026422016,24.73400441013314,1.7275574906015723,86.55480133029045,146.93892931170916,87.79424185591918
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-067,3417,27.448935848659755,28.18803041865701,2.622015653523868,87.00755418912514,160.33713288337748,87.55740326540852
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-110,5804,26.204964760497035,27.023399686932656,3.028615703121107,108.78756290007931,257.33139749434275,109.83042543804812
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-119,3148,26.612881852220415,26.934654676344703,1.194642470790186,103.20378997279019,189.99779782669526,103.20378997279019
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-124,2077,36.66851777683667,37.29493004175377,1.6796177502298448,166.85994116519117,315.79700044017295,171.59254389597885
fold0_seed17_all,cv_targets,ADE_vs_CV,all,eu-locality-007,5526,12.790129797678958,13.731098649130566,6.852830028361845,43.95122125345763,76.43866311332394,46.03588494020081
fold0_seed17_all,cv_targets,ADE_vs_CV,all,eu-locality-008,157961,17.011497276939146,18.214515006924465,6.604720079167514,60.449353009022296,125.61507674596953,63.9700524103003
fold0_seed17_all,cv_targets,ADE_vs_CV,all,eu-locality-020,1225,6.40833343267221,6.529874789510041,1.8613122112706049,20.649557710350873,41.37090371937323,21.020763749430696
fold0_seed17_all,cv_targets,ADE_vs_CV,all,eu-locality-048,8058,24.696571083614916,26.698045849916497,7.496708851100575,84.1261050283079,147.49292963797856,89.55098636922551
fold0_seed17_all,cv_targets,ADE_vs_CV,all,eu-locality-067,6903,26.936399832200536,29.011553933538778,7.15285401840976,88.5042343006725,162.6235251701382,93.29868317030169
