head,kind,steps,resumed_phase_updates,seconds,parameters,draws,unique_rows,checkpoint_replay_rows,unknown_sampled,fixed_start_loss,fixed_end_loss,stochastic_start_loss,stochastic_end_loss
batch/heads/fold0_seed17_all_cv_utility,bounded_utility,2000,2000,1.784448833001079,24514,512000,85178,4096,0,,,0.17688333988189697,0.05133681744337082
batch/heads/fold0_seed17_all_cv_risk,ranked_risk,2000,2000,2.3633073330129264,24579,512000,85178,4096,0,2.3003518486867947,1.8664794589686302,2.3003518486867947,1.4296218486956065
batch/heads/fold0_seed17_all_floor_utility,bounded_utility,2000,2000,1.5364779170049587,24514,512000,85178,4096,0,,,0.11652267724275589,0.03515127673745155
batch/heads/fold0_seed17_all_floor_risk,ranked_risk,2000,2000,2.3678226670017466,24579,512000,85178,4096,0,2.3141691241446747,2.0094094461950256,2.3141691241446747,1.4347341106862128
batch/heads/fold0_seed17_easy_cv_utility,bounded_utility,2000,2000,1.6405779589986196,24514,512000,85178,4096,0,,,0.17652453482151031,0.05230502039194107
batch/heads/fold0_seed17_easy_cv_risk,ranked_risk,2000,2000,2.2248985420010285,24579,512000,85178,4096,0,0.5399503946951814,0.4471937730009389,0.5399503946951814,0.5117138071322916
batch/heads/fold0_seed17_easy_floor_utility,bounded_utility,2000,2000,1.6505470830015838,24514,512000,85178,4096,0,,,0.15356311202049255,0.04910462349653244
batch/heads/fold0_seed17_easy_floor_risk,ranked_risk,2000,2000,1.9757942500000354,24579,512000,85178,4096,0,0.5418938708253607,0.3917625131497041,0.5418938708253607,0.7365076915821149
batch/heads/fold0_seed29_all_cv_utility,bounded_utility,2000,2000,1.7569195000105537,24514,512000,85046,4096,0,,,0.24834290146827698,0.09743785113096237
batch/heads/fold0_seed29_all_cv_risk,ranked_risk,2000,2000,2.7973972920008237,24579,512000,85046,4096,0,2.614892854316019,2.1820325072980205,2.614892854316019,1.7720664492093117
batch/heads/fold0_seed29_all_floor_utility,bounded_utility,2000,2000,2.0606951249937993,24514,512000,85046,4096,0,,,0.17709705233573914,0.0768626406788826
batch/heads/fold0_seed29_all_floor_risk,ranked_risk,2000,2000,2.3793040410091635,24579,512000,85046,4096,0,2.607011601577408,2.2073365121147392,2.607011601577408,1.7000742128076285
batch/heads/fold0_seed29_easy_cv_utility,bounded_utility,2000,2000,1.6760261669987813,24514,512000,85046,4096,0,,,0.24810649454593658,0.09277357906103134
batch/heads/fold0_seed29_easy_cv_risk,ranked_risk,2000,2000,3.1714781659975415,24579,512000,85046,4096,0,0.38910977890621495,0.396838768238567,0.38910977890621495,0.27565709901779656
batch/heads/fold0_seed29_easy_floor_utility,bounded_utility,2000,2000,1.9411670830013463,24514,512000,85046,4096,0,,,0.21212536096572876,0.08317097276449203
batch/heads/fold0_seed29_easy_floor_risk,ranked_risk,2000,2000,3.3386442080081906,24579,512000,85046,4096,0,0.5234941551410137,0.5586458837408358,0.5234941551410137,0.761943319545584
batch/heads/fold0_seed43_all_cv_utility,bounded_utility,2000,2000,1.2992626250052126,24514,512000,85034,4096,0,,,0.1300412267446518,0.15633177757263184
