view,locality,slice,rows,mean_cv,gain_pred,gain_actual,harm_pred,harm_actual,gain_mae,harm_mae,risk_mass_pred,risk_mass_actual,risk_harm_pred,risk_harm_actual,risk_mass_mae,risk_harm_mae
neural_fold0_seed17_all_old,eu-locality-007,population,5526,13.731098649130566,2.47263240814209,2.5169746667056327,1.2628194093704224,1.3636854239269718,2.8055263775187314,1.891179891905474,18.45781020209506,13.731098649130544,1.7980047361682554,1.3636854239269718,12.184753959797694,2.1669440902030743
neural_fold0_seed17_all_old,eu-locality-007,selected,21,14.256002670648078,1.4683914184570312,3.5258635904054936,0.03644677996635437,0.10753771211001178,3.0951992649556352,0.13679497045512007,17.63916792188372,14.256002670648074,0.20393093320585431,0.10753771211001178,14.899565529953586,0.25041189500105554
neural_fold0_seed17_all_old,eu-locality-008,population,157961,18.214515006924465,3.3317208290100098,3.23263826421352,1.991267204284668,3.6625030508698213,4.1253746832709375,4.10322019984626,27.00454736763801,18.214515006924312,1.7415539880978232,3.6625030508698213,19.136591433888654,3.996319111458957
neural_fold0_seed17_all_old,eu-locality-008,selected,1810,23.506962566998606,1.2223142385482788,4.825290620950387,0.10615529119968414,6.273379737167988,5.031470800937267,6.264840819745439,22.414733836713417,23.506962566998617,0.36061191369846296,6.273379737167988,18.182347613025463,6.253103411644831
neural_fold0_seed17_all_old,eu-locality-020,population,1225,6.529874789510041,1.2619929313659668,0.5989576214218502,2.213873863220215,3.4185153079410417,1.3347402407532776,2.8905108376544657,16.699923100748233,6.529874789510041,2.4346621082936015,3.4185153079410417,11.185510690399031,3.375616960427031
neural_fold0_seed17_all_old,eu-locality-020,selected,3,15.080771015899549,0.9436450004577637,4.3480519911726265,2.3850187233151465e-13,0.0,3.878840542226935,2.385018723324038e-13,41.722686449686684,15.080771015899549,0.32386187960704166,0.0,26.641915433787137,0.32386187960704166
neural_fold0_seed17_all_old,eu-locality-048,population,8058,26.698045849916497,5.319972038269043,5.0779054884054915,2.603574275970459,4.41455534858953,5.614730114338058,4.881168769141061,32.924105006735424,26.698045849916557,2.3141741068773922,4.41455534858953,20.812985280592066,4.869004649228291
neural_fold0_seed17_all_old,eu-locality-048,selected,36,22.57573086523735,2.341737985610962,5.7800501982835435,0.10958509892225266,2.323213046204233,5.02774625277783,2.372106792718326,23.987153934107887,22.575730865237343,0.39292253077858025,2.323213046204233,15.273785319978803,2.4910267238672708
neural_fold0_seed17_all_old,eu-locality-067,population,6903,29.011553933538778,3.4593279361724854,5.515003209942442,1.6263337135314941,3.00909479815102,4.843594313865206,3.3760526418405674,25.40286910121387,29.01155393353873,1.9772762817595229,3.00909479815102,18.740754202445526,3.5674729761257997
neural_fold0_seed17_all_old,eu-locality-067,selected,42,25.59632712137441,1.1477596759796143,5.341101236979948,0.05048902705311775,1.2689779323861976,4.877199254978668,1.2934839474563757,21.573003138814652,25.59632712137441,0.26370632524291676,1.2689779323861976,16.119837480774965,1.431382712377763
neural_fold0_seed17_all_old,eu-locality-110,population,8550,30.697946977148565,3.413419485092163,6.134804460498245,2.111984968185425,0.9645959440405419,4.9191569284808665,2.4299104453033467,25.03203291959233,30.697946977148565,1.8479452939834773,0.9645959440405419,20.93514833869037,2.1996802150364587
neural_fold0_seed17_all_old,eu-locality-110,selected,12,20.817277896343732,0.41204556822776794,6.308692206576622,0.054730936884880066,0.0,5.926917941399892,0.05473093626399835,21.843880256017048,20.817277896343732,0.24982728529721498,0.0,17.471742740872973,0.24982728529721498
neural_fold0_seed17_all_old,eu-locality-119,population,5639,28.946880038043894,4.04921817779541,5.8116553738868015,2.3298466205596924,2.1602982466551466,4.985091446935902,3.214020967472156,25.87022781691551,28.9468800380438,1.959780539288036,2.1602982466551466,21.00508067380504,2.9554708502096063
neural_fold0_seed17_all_old,eu-locality-119,selected,2,6.807875793114512,0.10797591507434845,0.7909581826304284,0.027478694915771484,1.6015078731472072,0.8335405455206719,1.5740291782314357,22.116127014160156,6.807875793114512,0.21162310242652893,1.6015078731472072,15.308251221045644,1.6503524192268428
neural_fold0_seed17_all_old,eu-locality-124,population,3550,42.613481942133895,4.085038185119629,6.1494347458132514,2.7999653816223145,2.665158446331483,5.619125078506739,3.6858493846337663,28.12827344378955,42.61348194213386,2.7242336376315692,2.665158446331483,29.569021898918873,3.693189602345538
neural_fold0_seed17_all_old,eu-locality-124,selected,7,12.63304846124097,1.5474406480789185,2.789751438096157,1.8114756656500974e-12,0.0,2.2543984480483212,1.8114757546226397e-12,16.404944317681448,12.63304846124097,0.11734496429562569,0.0,7.1608165974932945,0.11734496429562569
neural_fold0_seed17_all_utility_only,eu-locality-007,population,5526,13.731098649130566,2.0980138778686523,2.5169746667056327,1.115991234779358,1.3636854239269718,2.420985028848375,1.6344693785028257,18.45781020209506,13.731098649130544,1.7980047361682554,1.3636854239269718,12.184753959797694,2.1669440902030743
neural_fold0_seed17_all_utility_only,eu-locality-007,selected,20,14.46581751862504,2.0886623859405518,3.702156769925768,0.15368659794330597,0.030635442944739077,2.674437149001639,0.16267290530609316,18.44933203458786,14.46581751862504,0.21270812889561058,0.030635442944739077,15.213352804285867,0.1820726859508715
neural_fold0_seed17_all_utility_only,eu-locality-008,population,157961,18.214515006924465,4.185708522796631,3.23263826421352,2.575721502304077,3.6625030508698213,4.434166587338917,3.7622860080356113,27.00454736763801,18.214515006924312,1.7415539880978232,3.6625030508698213,19.136591433888654,3.996319111458957
neural_fold0_seed17_all_utility_only,eu-locality-008,selected,1604,23.064296873818563,7.587801933288574,4.919686224907264,1.2419075965881348,5.931466109068301,7.654605779887882,5.933491118844175,22.28417730158627,23.064296873818574,0.35862463920265714,5.931466109068301,17.76282918127759,5.92464087329975
neural_fold0_seed17_all_utility_only,eu-locality-020,population,1225,6.529874789510041,1.0651687383651733,0.5989576214218502,1.5119898319244385,3.4185153079410417,1.171337883220384,2.904782566420752,16.699923100748233,6.529874789510041,2.4346621082936015,3.4185153079410417,11.185510690399031,3.375616960427031
neural_fold0_seed17_all_utility_only,eu-locality-020,selected,3,15.080771015899549,1.2905086278915405,4.3480519911726265,1.7183754224574439e-15,0.0,3.057543442753946,1.7183754577506767e-15,41.722686449686684,15.080771015899549,0.32386187960704166,0.0,26.641915433787137,0.32386187960704166
neural_fold0_seed17_all_utility_only,eu-locality-048,population,8058,26.698045849916497,5.931918621063232,5.0779054884054915,3.284984827041626,4.41455534858953,5.732647644946706,4.534430422054985,32.924105006735424,26.698045849916557,2.3141741068773922,4.41455534858953,20.812985280592066,4.869004649228291
neural_fold0_seed17_all_utility_only,eu-locality-048,selected,35,21.906397594827755,12.332599639892578,5.945194489663073,1.2257722616195679,2.0899779362581334,8.81745712484576,2.565932220710284,24.184574215752736,21.90639759482775,0.3975864650947707,2.0899779362581334,14.883752007605768,2.2691487141318842
neural_fold0_seed17_all_utility_only,eu-locality-067,population,6903,29.011553933538778,4.417758941650391,5.515003209942442,2.0150997638702393,3.00909479815102,4.862096527525819,3.124733378117791,25.40286910121387,29.01155393353873,1.9772762817595229,3.00909479815102,18.740754202445526,3.5674729761257997
neural_fold0_seed17_all_utility_only,eu-locality-067,selected,38,24.532359754279007,4.143211841583252,5.60927015440746,0.4368565082550049,0.6702033539853379,4.38221542266487,0.9985022105280377,21.988364727873552,24.53235975427901,0.26138025855547503,0.6702033539853379,15.913825734959119,0.8585436149062714
neural_fold0_seed17_all_utility_only,eu-locality-110,population,8550,30.697946977148565,3.0361804962158203,6.134804460498245,2.0183610916137695,0.9645959440405419,4.701697480602928,2.170045807219243,25.03203291959233,30.697946977148565,1.8479452939834773,0.9645959440405419,20.93514833869037,2.1996802150364587
neural_fold0_seed17_all_utility_only,eu-locality-110,selected,9,25.15302336351549,3.7873246669769287,7.705602088282673,0.5295319557189941,0.0,3.9624605592187225,0.5295319010814031,27.03249666425917,25.153023363515494,0.2943437281582091,0.0,22.784986833318044,0.2943437281582091
neural_fold0_seed17_all_utility_only,eu-locality-119,population,5639,28.946880038043894,3.8369712829589844,5.8116553738868015,2.0586249828338623,2.1602982466551466,4.913645313109633,2.8512667921607746,25.87022781691551,28.9468800380438,1.959780539288036,2.1602982466551466,21.00508067380504,2.9554708502096063
