group,subset,component,mean_pp,ci_low_pp,ci_high_pp
neural_fold0_seed17_all,all,full_total,0.9852537054224401,0.7384723220385492,1.230708519162189
neural_fold0_seed17_all,all,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,all,total,0.9852537054224401,0.7384723220385492,1.230708519162189
neural_fold0_seed17_all,all,ranking_at_product_count,0.0425175065497817,-0.07171086144962671,0.1662891629773155
neural_fold0_seed17_all,all,coverage_with_hurdle_ranking,0.9427361988726584,0.7339567141503944,1.133436938869355
neural_fold0_seed17_all,all,coverage_with_product_ranking,0.894934468336346,0.5192480469941887,1.2375820525038002
neural_fold0_seed17_all,all,ranking_at_hurdle_count,0.09031923708609418,-0.21250581097044036,0.4136451542161701
neural_fold0_seed17_all,easy,full_total,2.2160442031141576,1.62257870900843,2.8095102363707873
neural_fold0_seed17_all,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,easy,total,2.2160442031141576,1.62257870900843,2.8095102363707873
neural_fold0_seed17_all,easy,ranking_at_product_count,0.11285355249454967,-0.20779781310006565,0.4006077732220684
neural_fold0_seed17_all,easy,coverage_with_hurdle_ranking,2.103190650619608,1.5091115795907561,2.6123805196949363
neural_fold0_seed17_all,easy,coverage_with_product_ranking,1.4801910729814918,0.882409855318047,2.0468165828951124
neural_fold0_seed17_all,easy,ranking_at_hurdle_count,0.7358531301326661,0.32829349457297424,1.0891249542358636
neural_fold0_seed17_all,hard,full_total,0.7739598154522095,0.40854968076731607,1.1331775960474701
neural_fold0_seed17_all,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,hard,total,0.7739598154522095,0.40854968076731607,1.1331775960474701
neural_fold0_seed17_all,hard,ranking_at_product_count,0.017895752895995643,-0.11148866152750772,0.16940443532600793
neural_fold0_seed17_all,hard,coverage_with_hurdle_ranking,0.756064062556214,0.4178352527837199,1.1057465793948666
neural_fold0_seed17_all,hard,coverage_with_product_ranking,0.9763464176746273,0.4833837387828368,1.5140069883243337
neural_fold0_seed17_all,hard,ranking_at_hurdle_count,-0.20238660222241786,-0.5082201209002842,0.10344052633395107
neural_fold0_seed17_easy,all,full_total,-2.5231615407663077,-3.9095728709732525,-0.6313964575634142
neural_fold0_seed17_easy,all,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,all,total,-2.5231615407663077,-3.9095728709732525,-0.6313964575634142
neural_fold0_seed17_easy,all,ranking_at_product_count,-0.9038402574613245,-1.8039137326629568,-0.08287647658796092
neural_fold0_seed17_easy,all,coverage_with_hurdle_ranking,-1.6193212833049837,-2.459272694206768,-0.36898727991623714
neural_fold0_seed17_easy,all,coverage_with_product_ranking,-1.8819069910326518,-3.0634727866626386,-0.2594818364438038
neural_fold0_seed17_easy,all,ranking_at_hurdle_count,-0.6412545497336561,-0.8938392736296692,-0.3565462590345914
neural_fold0_seed17_easy,easy,full_total,-1.3607080106752185,-3.2924234323450516,1.0926934788663378
neural_fold0_seed17_easy,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,easy,total,-1.3607080106752185,-3.2924234323450516,1.0926934788663378
neural_fold0_seed17_easy,easy,ranking_at_product_count,0.8363116418142937,-0.033281432982062056,1.5540442693503418
neural_fold0_seed17_easy,easy,coverage_with_hurdle_ranking,-2.1970196524895123,-4.676469866179708,1.0597861215395794
neural_fold0_seed17_easy,easy,coverage_with_product_ranking,-2.3816556793294,-4.656163218643089,0.36646479245822355
neural_fold0_seed17_easy,easy,ranking_at_hurdle_count,1.0209476686541819,0.5611808771186295,1.479641766967225
neural_fold0_seed17_easy,hard,full_total,-3.4617718484575004,-4.453944428902128,-2.2309492621650957
neural_fold0_seed17_easy,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,hard,total,-3.4617718484575004,-4.453944428902128,-2.2309492621650957
neural_fold0_seed17_easy,hard,ranking_at_product_count,-1.6512924967835836,-2.549494031998532,-0.8551792594958795
neural_fold0_seed17_easy,hard,coverage_with_hurdle_ranking,-1.8104793516739166,-2.540474284416506,-1.1311570769340307
neural_fold0_seed17_easy,hard,coverage_with_product_ranking,-2.5864749038724395,-3.5293932723018187,-1.4464830749049837
neural_fold0_seed17_easy,hard,ranking_at_hurdle_count,-0.8752969445850609,-1.0210558227168636,-0.7482645938534681
damping097_fold0_seed17_all,all,full_total,0.9717717643681787,0.5849758239251742,1.3442344728327575
damping097_fold0_seed17_all,all,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_all,all,total,0.9717717643681787,0.5849758239251742,1.3442344728327575
damping097_fold0_seed17_all,all,ranking_at_product_count,-0.440925947356948,-0.7750596743585749,-0.09561590652279935
damping097_fold0_seed17_all,all,coverage_with_hurdle_ranking,1.4126977117251267,0.9756553609589683,1.7241209086390847
damping097_fold0_seed17_all,all,coverage_with_product_ranking,1.2457125411708811,0.8309245589785932,1.5673447405793766
damping097_fold0_seed17_all,all,ranking_at_hurdle_count,-0.27394077680270223,-0.7442923960121642,0.20084527798650317
damping097_fold0_seed17_all,easy,full_total,0.28545197585097715,0.036022883530119836,0.5131867905801426
damping097_fold0_seed17_all,easy,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_all,easy,total,0.28545197585097715,0.036022883530119836,0.5131867905801426
damping097_fold0_seed17_all,easy,ranking_at_product_count,0.3773049804729426,0.21084112500483515,0.587133272947448
damping097_fold0_seed17_all,easy,coverage_with_hurdle_ranking,-0.09185300462196547,-0.24506482372104543,0.040040577413686225
damping097_fold0_seed17_all,easy,coverage_with_product_ranking,0.022221071365973018,-0.1947890484713396,0.21431259709876174
damping097_fold0_seed17_all,easy,ranking_at_hurdle_count,0.2632309044850041,0.08544826631266834,0.517067369598748
damping097_fold0_seed17_all,hard,full_total,0.8851987674769278,0.46522795962571967,1.3080467422229285
damping097_fold0_seed17_all,hard,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_all,hard,total,0.8851987674769278,0.46522795962571967,1.3080467422229285
damping097_fold0_seed17_all,hard,ranking_at_product_count,-0.6457816718500056,-1.07231649462248,-0.16982502371908031
damping097_fold0_seed17_all,hard,coverage_with_hurdle_ranking,1.5309804393269335,1.0171524126313334,1.8940893733627848
damping097_fold0_seed17_all,hard,coverage_with_product_ranking,1.4251587911723267,0.968998698096056,1.7345167359483136
damping097_fold0_seed17_all,hard,ranking_at_hurdle_count,-0.5399600236953987,-1.058240559275252,0.004911410773793142
damping097_fold0_seed17_easy,all,full_total,-0.7338235077596551,-1.0945705298847275,-0.32679430897055556
damping097_fold0_seed17_easy,all,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_easy,all,total,-0.7338235077596551,-1.0945705298847275,-0.32679430897055556
damping097_fold0_seed17_easy,all,ranking_at_product_count,0.10298902511886468,-0.22265784232134644,0.45437551709068735
damping097_fold0_seed17_easy,all,coverage_with_hurdle_ranking,-0.8368125328785198,-1.0623418255231367,-0.5954627191074762
damping097_fold0_seed17_easy,all,coverage_with_product_ranking,-0.6483357010576984,-0.8387348741295344,-0.3987480798334288
damping097_fold0_seed17_easy,all,ranking_at_hurdle_count,-0.08548780670195677,-0.3006718032919016,0.14283740561984043
damping097_fold0_seed17_easy,easy,full_total,0.36303128148610875,0.040176197473986,0.8391298272171108
damping097_fold0_seed17_easy,easy,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_easy,easy,total,0.36303128148610875,0.040176197473986,0.8391298272171108
damping097_fold0_seed17_easy,easy,ranking_at_product_count,-0.019717471106485876,-0.35594785419407765,0.2289716147415146
damping097_fold0_seed17_easy,easy,coverage_with_hurdle_ranking,0.3827487525925946,-0.01815204165093014,1.1234364885287988
damping097_fold0_seed17_easy,easy,coverage_with_product_ranking,0.21854129635881278,-0.14448421062630581,0.8079714584176599
damping097_fold0_seed17_easy,easy,ranking_at_hurdle_count,0.144489985127296,0.00597773192636723,0.25888755240551903
damping097_fold0_seed17_easy,hard,full_total,-0.8328933081662376,-1.2690444040501923,-0.3276504970273884
damping097_fold0_seed17_easy,hard,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_easy,hard,total,-0.8328933081662376,-1.2690444040501923,-0.3276504970273884
damping097_fold0_seed17_easy,hard,ranking_at_product_count,0.12962244910644735,-0.18992019664751536,0.4944543562215961
damping097_fold0_seed17_easy,hard,coverage_with_hurdle_ranking,-0.9625157572726851,-1.1840201708387001,-0.737678460853566
damping097_fold0_seed17_easy,hard,coverage_with_product_ranking,-0.6481454583720182,-0.8723122873349545,-0.3664741609302696
damping097_fold0_seed17_easy,hard,ranking_at_hurdle_count,-0.18474784979421952,-0.4666575921168879,0.11768985708617913
neural_fold0_seed29_all,all,full_total,1.3836866916491677,1.004366736347732,1.7234731436750879
neural_fold0_seed29_all,all,support_difference,0.0,0.0,0.0
neural_fold0_seed29_all,all,total,1.3836866916491677,1.004366736347732,1.7234731436750879
neural_fold0_seed29_all,all,ranking_at_product_count,0.22207972432938508,0.11591393704440897,0.3411405179482895
