view,locality,rows,selected,selected_known_ADE,predicted_risk_violations,selected_positive_harm_mean,selected_net_gain_mean
neural_fold0_seed17_all_product_original,eu-locality-007,5664,731,715,0,0.08521282617370182,0.632085202136377
neural_fold0_seed17_all_product_original,eu-locality-008,161653,25749,25446,0,0.1330076117914013,0.567096633772376
neural_fold0_seed17_all_product_original,eu-locality-020,1282,128,118,0,0.002316615618260052,0.47612010070766614
neural_fold0_seed17_all_product_original,eu-locality-048,8344,1207,1193,0,0.14700663956451718,0.7150038807222333
neural_fold0_seed17_all_product_original,eu-locality-067,7105,724,712,0,0.07020383735907175,1.0372076638202246
neural_fold0_seed17_all_product_original,eu-locality-110,8660,1576,1559,0,0.036658816009124275,0.7404648560538984
neural_fold0_seed17_all_product_original,eu-locality-119,5787,704,701,0,0.06850622553702952,0.8113396506016258
neural_fold0_seed17_all_product_original,eu-locality-124,3651,473,472,0,0.08844472296692206,2.787651202306509
neural_fold0_seed17_all_hurdle_original,eu-locality-007,5664,1308,1278,0,0.3342104000100009,1.1260262104465821
neural_fold0_seed17_all_hurdle_original,eu-locality-008,161653,40090,39606,0,0.12078526928560093,1.1448305370473406
neural_fold0_seed17_all_hurdle_original,eu-locality-020,1282,239,217,0,0.0868747670113862,0.5260420605683679
neural_fold0_seed17_all_hurdle_original,eu-locality-048,8344,1716,1693,0,0.19540308249077654,1.5441632975677426
neural_fold0_seed17_all_hurdle_original,eu-locality-067,7105,1264,1241,0,0.2897180609580657,2.8959642340406937
neural_fold0_seed17_all_hurdle_original,eu-locality-110,8660,2702,2677,0,0.057657667856259476,1.8480151095408872
neural_fold0_seed17_all_hurdle_original,eu-locality-119,5787,1155,1145,0,0.10184611084797439,1.1214732472690672
neural_fold0_seed17_all_hurdle_original,eu-locality-124,3651,829,824,0,0.09190334505192511,2.797978773455755
neural_fold0_seed17_all_product_common,eu-locality-007,5664,731,715,0,0.08521282617370182,0.632085202136377
neural_fold0_seed17_all_product_common,eu-locality-008,161653,25749,25446,0,0.1330076117914013,0.567096633772376
neural_fold0_seed17_all_product_common,eu-locality-020,1282,128,118,0,0.002316615618260052,0.47612010070766614
neural_fold0_seed17_all_product_common,eu-locality-048,8344,1207,1193,0,0.14700663956451718,0.7150038807222333
neural_fold0_seed17_all_product_common,eu-locality-067,7105,724,712,0,0.07020383735907175,1.0372076638202246
neural_fold0_seed17_all_product_common,eu-locality-110,8660,1576,1559,0,0.036658816009124275,0.7404648560538984
neural_fold0_seed17_all_product_common,eu-locality-119,5787,704,701,0,0.06850622553702952,0.8113396506016258
neural_fold0_seed17_all_product_common,eu-locality-124,3651,473,472,0,0.08844472296692206,2.787651202306509
neural_fold0_seed17_all_hurdle_common,eu-locality-007,5664,1308,1278,0,0.3342104000100009,1.1260262104465821
neural_fold0_seed17_all_hurdle_common,eu-locality-008,161653,40090,39606,0,0.12078526928560093,1.1448305370473406
neural_fold0_seed17_all_hurdle_common,eu-locality-020,1282,239,217,0,0.0868747670113862,0.5260420605683679
