policy,comparison,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
half0__global,ADE_vs_floor4,all,eu-locality-007,5526,13.604783532480925,13.659801968100014,0.4027762316582306,45.72409026969978,80.21804688045466,46.09347990746643
half0__global,ADE_vs_floor4,all,eu-locality-008,157961,17.986652769093986,18.021562585415488,0.19371137300687735,63.88777248258642,131.4308947374027,63.88777248258642
half0__global,ADE_vs_floor4,all,eu-locality-020,1225,6.43969377642956,6.504222456334076,0.9921044419640812,20.950455289077674,42.958840384020256,20.950455289077674
half0__global,ADE_vs_floor4,all,eu-locality-048,8058,26.56937822803609,26.56728941852815,-0.007862335803365816,89.55098636922551,160.18716362070072,89.55098636922551
half0__global,ADE_vs_floor4,all,eu-locality-067,6903,28.91189503481851,28.934965705531113,0.079732842773661,93.18088829333526,168.56927310186109,93.18088829333526
half0__global,ADE_vs_floor4,all,eu-locality-110,8550,30.380448771298376,30.386533140007852,0.020023240826594346,121.68449105426859,270.73137899676516,121.9052045177577
half0__global,ADE_vs_floor4,all,eu-locality-119,5639,28.84691879965609,28.851635272672283,0.016347333423627486,114.3522798565831,201.6878989025234,114.3522798565831
half0__global,ADE_vs_floor4,all,eu-locality-124,3550,42.44196821174489,42.466857455347295,0.05860863057401966,186.45287792257716,344.5055271166482,186.45287792257716
half0__global,ADE_vs_floor4,easy,eu-locality-007,2133,1.7649714517991593,1.814058480940991,2.705923191427062,4.210198217149592,4.673686581224021,4.226908462018055
half0__global,ADE_vs_floor4,easy,eu-locality-008,52276,2.1366007779861267,2.2247393563630107,3.9617485133616848,4.187547356424309,4.5923821133617055,4.2536504975253715
half0__global,ADE_vs_floor4,easy,eu-locality-020,695,1.6128100390953608,1.6618821885620654,2.9528055480974813,4.258957491577554,4.645577515453056,4.272902529712657
half0__global,ADE_vs_floor4,easy,eu-locality-048,2050,2.133903981674896,2.1898050386991095,2.5527869393077274,4.287231698181493,4.693557238623529,4.307347057075696
half0__global,ADE_vs_floor4,easy,eu-locality-067,1508,2.034819314765501,2.0608942171549587,1.2652227451758202,4.327806847863975,4.639894503859334,4.3128555701010765
half0__global,ADE_vs_floor4,easy,eu-locality-110,2579,2.17612245493261,2.2329727154767687,2.5459451497158225,4.194540420825208,4.5446106126410095,4.225516494376588
half0__global,ADE_vs_floor4,easy,eu-locality-119,1658,2.1788342060935397,2.238628426291332,2.6710203218875184,4.229803938537856,4.645785961809294,4.228048703735379
