policy,comparison,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
half0__global,ADE_vs_floor4,all,eu-locality-007,5526,12.86446512578973,12.974876186915042,0.8509604217777467,43.949817774929286,76.82808683750025,44.53593329502612
half0__global,ADE_vs_floor4,all,eu-locality-008,157961,17.09701537599881,17.310360041620548,1.2324681006563476,60.515017758946065,126.58211619616917,60.77363039735514
half0__global,ADE_vs_floor4,all,eu-locality-020,1225,6.322024873410716,6.453703918433902,2.040363900907627,20.216303839380814,41.37090371937323,20.63072736269522
half0__global,ADE_vs_floor4,all,eu-locality-048,8058,24.814344222699287,25.04006397712567,0.9014344157929455,84.39904722111905,149.54880658852386,84.77644777499424
half0__global,ADE_vs_floor4,all,eu-locality-067,6903,27.223467094276693,27.316252363581988,0.33967056706869503,88.67424623165155,162.6235251701382,88.78448286947457
half0__global,ADE_vs_floor4,all,eu-locality-110,8550,28.716309292935822,29.06948335408015,1.214930643391554,115.45084506783245,259.95968966626083,116.85239857000487
half0__global,ADE_vs_floor4,all,eu-locality-119,5639,27.52706228235787,27.551822688667723,0.08986848743054443,108.43799131047149,198.1919476300189,108.43799131047149
half0__global,ADE_vs_floor4,all,eu-locality-124,3550,40.708874047184324,41.20235833047124,1.1977088285307191,178.84002126552733,327.466525146968,182.70620705979104
half0__global,ADE_vs_floor4,easy,eu-locality-007,2133,1.738571140703465,1.8219289613908256,4.575250871676517,4.15352507644566,4.848969602191015,4.230345133365256
half0__global,ADE_vs_floor4,easy,eu-locality-008,52276,2.1216073827608244,2.24421211344112,5.463152522258785,4.163201767714675,4.77610535574167,4.260181371097664
half0__global,ADE_vs_floor4,easy,eu-locality-020,695,1.655408669860849,1.714816508799578,3.4643845935630857,4.305392452430019,4.968338017372342,4.367811127405618
half0__global,ADE_vs_floor4,easy,eu-locality-048,2050,2.0809089839733907,2.1864603155211566,4.827498162142819,4.259952963395892,4.736669075460585,4.279426052271072
half0__global,ADE_vs_floor4,easy,eu-locality-067,1508,2.0263061090236385,2.0817024330364133,2.661106752513742,4.3147751196028405,5.344319212259583,4.369122159901785
