view,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99
neural_fold0_seed17_all_control_original,all,eu-locality-007,5526,13.470682163978422,13.731098649130566,1.896545147672013,45.33443719301822,77.55082635851304
neural_fold0_seed17_all_control_original,all,eu-locality-008,157961,17.927468468536528,18.214515006924465,1.575921940709446,63.490665842937005,130.2732183606517
neural_fold0_seed17_all_control_original,all,eu-locality-020,1225,6.436690195923645,6.529874789510041,1.4270502358803672,20.950455289077674,42.958840384020256
neural_fold0_seed17_all_control_original,all,eu-locality-048,8058,26.37361441993608,26.698045849916497,1.2151879272521038,88.57552882402547,159.70769630922467
neural_fold0_seed17_all_control_original,all,eu-locality-067,6903,28.49092643615438,29.011553933538778,1.794552262099025,92.6387549360034,168.12420050513032
neural_fold0_seed17_all_control_original,all,eu-locality-110,8550,30.119334527061902,30.697946977148565,1.884857155162134,120.90612228783687,267.89394377614184
neural_fold0_seed17_all_control_original,all,eu-locality-119,5639,28.719164686363968,28.946880038043894,0.7866663052482625,114.31522229375783,201.6878989025234
neural_fold0_seed17_all_control_original,all,eu-locality-124,3550,41.96403560147826,42.613481942133895,1.5240396021558134,183.35779447274274,333.55000293878123
neural_fold0_seed17_all_control_original,easy,eu-locality-007,2133,1.7881651647290326,1.8525004364762494,3.4728883448790215,4.2791801847770925,4.740048263449418
neural_fold0_seed17_all_control_original,easy,eu-locality-008,52276,2.158464841599487,2.3343046202023725,7.5328548416976115,4.345791995404136,4.71374322806078
neural_fold0_seed17_all_control_original,easy,eu-locality-020,695,1.6392525807454044,1.6834998531827923,2.6282908402834093,4.272902529712657,4.652831970726819
neural_fold0_seed17_all_control_original,easy,eu-locality-048,2050,2.1186252698578145,2.2919612794697164,7.562780888340582,4.360865002853947,4.734034049948544
neural_fold0_seed17_all_control_original,easy,eu-locality-067,1508,2.0220714491855527,2.126958008841005,4.931294328307201,4.326646187803056,4.659982054643809
neural_fold0_seed17_all_control_original,easy,eu-locality-110,2579,2.1155724432760112,2.356118809479549,10.20943278563584,4.1949532697954774,4.707395952481465
neural_fold0_seed17_all_control_original,easy,eu-locality-119,1658,2.1651550881776567,2.3455260977767742,7.690002245981564,4.274656316195171,4.682972108251527
neural_fold0_seed17_all_control_original,easy,eu-locality-124,1006,2.38026126280478,2.5758364727079335,7.592687345464455,4.411039917742999,4.737569195346084
neural_fold0_seed17_all_control_original,hard,eu-locality-007,1023,40.4692011472558,41.40975627894383,2.2713370379489173,80.38781459248608,113.9490459422272
neural_fold0_seed17_all_control_original,hard,eu-locality-008,36762,52.23097697199504,52.67518424564873,0.8432951493480223,123.56257651670533,212.8395943758261
neural_fold0_seed17_all_control_original,hard,eu-locality-020,47,37.60165778915696,37.60165778915696,0.0,59.47714101421315,69.16719818649797
neural_fold0_seed17_all_control_original,hard,eu-locality-048,2992,56.92252160437479,57.46856971561877,0.9501682640547293,126.57489072975301,211.57685641932093
neural_fold0_seed17_all_control_original,hard,eu-locality-067,2806,57.017135002088615,58.07941434406488,1.8290118004346212,131.50085187164876,207.56503644827586
neural_fold0_seed17_all_control_original,hard,eu-locality-110,2743,78.79094111294567,79.7697476849151,1.2270398244653369,227.4059192079606,399.99690515787086
neural_fold0_seed17_all_control_original,hard,eu-locality-119,1895,70.5477629166259,70.83322967903267,0.4030124896186593,177.35436104322963,275.16663244604706
neural_fold0_seed17_all_control_original,hard,eu-locality-124,1362,97.60477667780636,98.83231481672954,1.242041270812566,275.89795101386636,452.5517041469119
neural_fold0_seed17_all_ranked_original,all,eu-locality-007,5526,13.313830360715079,13.731098649130566,3.0388558051901216,44.62635447815619,78.0568218942716
