policy,comparison,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
cv_targets__stop,ADE_vs_floor,all,eu-locality-008,157961,17.211308475320234,17.468989600658922,1.475077444255668,60.89969322358258,125.2407520894476,61.24495636887375
cv_targets__stop,ADE_vs_floor,all,eu-locality-020,1225,6.349342400136625,6.406913033691551,0.8985705479719108,20.950455289077674,41.37090371937323,20.644745075118987
cv_targets__stop,ADE_vs_floor,all,eu-locality-048,8058,24.96737619413091,25.197379471305773,0.9128063393924912,84.77644777499424,147.49292963797856,85.90762156520124
cv_targets__stop,ADE_vs_floor,all,eu-locality-067,6903,26.605867325064462,27.390620927811216,2.865044953946083,87.50852732716584,162.16175300496116,88.65930359656943
cv_targets__stop,ADE_vs_floor,all,eu-locality-074,102348,18.2420890772697,18.643656085220975,2.1539069703694125,60.51940435337364,124.69498979522758,61.61867548164824
cv_targets__stop,ADE_vs_floor,all,eu-locality-082,1368,13.041723875270332,13.32673464520734,2.138639190504976,51.02473347103528,100.89176991053361,51.33307131828658
cv_targets__stop,ADE_vs_floor,all,eu-locality-112,5004,23.148048275564964,23.654705492525167,2.1418876557998345,82.94709718696423,180.76834713332667,83.55800123644538
cv_targets__stop,ADE_vs_floor,all,eu-locality-126,5790,18.49455280237885,18.78017666708011,1.520879541042508,82.24829937802023,150.43171870300472,82.70914875351129
cv_targets__stop,ADE_vs_floor,easy,eu-locality-008,39889,1.6263408935742636,1.7239712752933483,5.66310953774285,3.034028085945305,3.439786553068499,3.105562241140559
cv_targets__stop,ADE_vs_floor,easy,eu-locality-020,593,1.197067697818488,1.2554408771118204,4.649615952255881,3.0333808615883204,3.3938085047037796,3.0442506244225767
cv_targets__stop,ADE_vs_floor,easy,eu-locality-048,1582,1.6314787934881692,1.6912168937183638,3.5322554104135317,3.1196963611641126,4.358316925242545,3.078837509497214
cv_targets__stop,ADE_vs_floor,easy,eu-locality-067,1219,1.5663041415935128,1.604267860679566,2.366420222990173,3.125280103751406,3.5166895481856923,3.1221577746709257
cv_targets__stop,ADE_vs_floor,easy,eu-locality-074,17048,1.970522208472667,2.0150773261529302,2.2110872422610894,3.4179776021762573,6.34469625207492,3.3305987055351305
cv_targets__stop,ADE_vs_floor,easy,eu-locality-082,513,1.4482605281637595,1.5525560397603957,6.717664865271599,2.8799050720408887,3.325076463814088,2.9984720219030083
cv_targets__stop,ADE_vs_floor,easy,eu-locality-112,571,1.9403791389844869,2.0165811470589508,3.7787722148250436,3.258999035831067,4.255752822341074,3.178153114730163
cv_targets__stop,ADE_vs_floor,easy,eu-locality-126,2160,1.321771676187028,1.4127470894303247,6.439610735986834,2.9110676164939258,3.58347484420926,2.9658956351988905
cv_targets__stop,ADE_vs_floor,hard,eu-locality-008,28100,56.74645717444262,57.64722234882071,1.5625474006841222,130.83985313255627,219.69365048384066,133.26205589400334
cv_targets__stop,ADE_vs_floor,hard,eu-locality-020,30,42.24365929490159,42.24365929490159,0.0,64.72063289570352,69.65016417684733,64.72063289570352
cv_targets__stop,ADE_vs_floor,hard,eu-locality-048,2478,59.11570057540064,60.095303775606894,1.6300827829476505,127.04422758145982,212.87296061498336,129.88669741957895
cv_targets__stop,ADE_vs_floor,hard,eu-locality-067,2296,59.0164622643476,61.34306811704575,3.7927771207316607,134.92211300701905,210.90005285411442,138.2806398719763
cv_targets__stop,ADE_vs_floor,hard,eu-locality-074,19310,55.20559868536253,56.92156698949112,3.0146188780175165,127.64018417937316,228.30678179490738,130.0314063047894
cv_targets__stop,ADE_vs_floor,hard,eu-locality-082,184,53.735977937511386,54.41238671377224,1.2431154321882576,112.91438547909941,199.4349932653571,111.15642414153585
cv_targets__stop,ADE_vs_floor,hard,eu-locality-112,1153,66.56657996419504,67.42966883057493,1.2799838429408572,171.97692338953817,282.2924395893853,171.97692338953817
cv_targets__stop,ADE_vs_floor,hard,eu-locality-126,1110,69.15469438210121,70.01648649782399,1.230841704331398,152.55973722899552,233.92764609795228,152.55973722899552
cv_targets__stop,ADE_vs_floor,complete,eu-locality-008,97352,15.49511531019734,15.770171126435711,1.7441523876509657,56.315782985552126,113.31069895883937,56.394451458517665
cv_targets__stop,ADE_vs_floor,complete,eu-locality-020,364,6.619318809273836,6.757290231477205,2.041815838554073,22.937980186983854,46.79046590782053,22.682718227503177
cv_targets__stop,ADE_vs_floor,complete,eu-locality-048,4716,24.77754542986846,24.905169277151636,0.512439188278313,87.74101807758365,146.93892931170916,88.06005689575474
cv_targets__stop,ADE_vs_floor,complete,eu-locality-067,3417,27.28840753456153,28.19998534332922,3.2325471012463747,87.38895239599044,161.92239044147067,87.81611306924334
cv_targets__stop,ADE_vs_floor,complete,eu-locality-074,67309,17.722075790926343,18.192856636298394,2.5877236037398776,58.313493170878914,123.49149558051265,59.67960932016846
cv_targets__stop,ADE_vs_floor,complete,eu-locality-082,582,9.74302716351533,10.072259719049734,3.2687059777829597,46.30650206106486,88.77064559267427,46.30650206106486
cv_targets__stop,ADE_vs_floor,complete,eu-locality-112,2417,19.30287734194527,19.949230009984944,3.2399880482412824,63.96984789236307,169.05702310244467,68.16569900614174
cv_targets__stop,ADE_vs_floor,complete,eu-locality-126,3637,17.957882519483217,18.324033257939625,1.9981994864463504,77.21067795031027,151.52667294605504,79.33620099124832
cv_targets__stop,ADE_vs_stop,all,eu-locality-008,157961,17.211308475320234,17.211308475320234,0.0,60.89969322358258,125.2407520894476,60.89969322358258
cv_targets__stop,ADE_vs_stop,all,eu-locality-020,1225,6.349342400136625,6.349342400136625,0.0,20.950455289077674,41.37090371937323,20.950455289077674
cv_targets__stop,ADE_vs_stop,all,eu-locality-048,8058,24.96737619413091,24.96737619413091,0.0,84.77644777499424,147.49292963797856,84.77644777499424
cv_targets__stop,ADE_vs_stop,all,eu-locality-067,6903,26.605867325064462,26.605867325064462,0.0,87.50852732716584,162.16175300496116,87.50852732716584
cv_targets__stop,ADE_vs_stop,all,eu-locality-074,102348,18.2420890772697,18.2420890772697,0.0,60.51940435337364,124.69498979522758,60.51940435337364
cv_targets__stop,ADE_vs_stop,all,eu-locality-082,1368,13.041723875270332,13.041723875270332,0.0,51.02473347103528,100.89176991053361,51.02473347103528
cv_targets__stop,ADE_vs_stop,all,eu-locality-112,5004,23.148048275564964,23.148048275564964,0.0,82.94709718696423,180.76834713332667,82.94709718696423
cv_targets__stop,ADE_vs_stop,all,eu-locality-126,5790,18.49455280237885,18.49455280237885,0.0,82.24829937802023,150.43171870300472,82.24829937802023
cv_targets__stop,ADE_vs_stop,easy,eu-locality-008,39889,1.6263408935742636,1.6263408935742636,0.0,3.034028085945305,3.439786553068499,3.034028085945305
cv_targets__stop,ADE_vs_stop,easy,eu-locality-020,593,1.197067697818488,1.197067697818488,0.0,3.0333808615883204,3.3938085047037796,3.0333808615883204
cv_targets__stop,ADE_vs_stop,easy,eu-locality-048,1582,1.6314787934881692,1.6314787934881692,0.0,3.1196963611641126,4.358316925242545,3.1196963611641126
cv_targets__stop,ADE_vs_stop,easy,eu-locality-067,1219,1.5663041415935128,1.5663041415935128,0.0,3.125280103751406,3.5166895481856923,3.125280103751406
cv_targets__stop,ADE_vs_stop,easy,eu-locality-074,17048,1.970522208472667,1.970522208472667,0.0,3.4179776021762573,6.34469625207492,3.4179776021762573
cv_targets__stop,ADE_vs_stop,easy,eu-locality-082,513,1.4482605281637595,1.4482605281637595,0.0,2.8799050720408887,3.325076463814088,2.8799050720408887
cv_targets__stop,ADE_vs_stop,easy,eu-locality-112,571,1.9403791389844869,1.9403791389844869,0.0,3.258999035831067,4.255752822341074,3.258999035831067
cv_targets__stop,ADE_vs_stop,easy,eu-locality-126,2160,1.321771676187028,1.321771676187028,0.0,2.9110676164939258,3.58347484420926,2.9110676164939258
cv_targets__stop,ADE_vs_stop,hard,eu-locality-008,28100,56.74645717444262,56.74645717444262,0.0,130.83985313255627,219.69365048384066,130.83985313255627
cv_targets__stop,ADE_vs_stop,hard,eu-locality-020,30,42.24365929490159,42.24365929490159,0.0,64.72063289570352,69.65016417684733,64.72063289570352
cv_targets__stop,ADE_vs_stop,hard,eu-locality-048,2478,59.11570057540064,59.11570057540064,0.0,127.04422758145982,212.87296061498336,127.04422758145982
cv_targets__stop,ADE_vs_stop,hard,eu-locality-067,2296,59.0164622643476,59.0164622643476,0.0,134.92211300701905,210.90005285411442,134.92211300701905
