group,subset,component,mean_pp,low_pp,high_pp
neural_fold0_seed17_all,all,full_total,0.0,0.0,0.0
neural_fold0_seed17_all,all,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,all,total,0.0,0.0,0.0
neural_fold0_seed17_all,all,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed17_all,all,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed17_all,all,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed17_all,all,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed17_all,easy,full_total,0.0,0.0,0.0
neural_fold0_seed17_all,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,easy,total,0.0,0.0,0.0
neural_fold0_seed17_all,easy,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed17_all,easy,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed17_all,easy,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed17_all,easy,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed17_all,hard,full_total,0.0,0.0,0.0
neural_fold0_seed17_all,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed17_all,hard,total,0.0,0.0,0.0
neural_fold0_seed17_all,hard,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed17_all,hard,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed17_all,hard,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed17_all,hard,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed17_easy,all,full_total,-0.05970821029698961,-0.09927644080872342,-0.02232244248393705
neural_fold0_seed17_easy,all,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,all,total,-0.05970821029698961,-0.09927644080872342,-0.02232244248393705
neural_fold0_seed17_easy,all,ranking_at_control_count,-0.040855263777749354,-0.06982899434660796,-0.013892304390800343
neural_fold0_seed17_easy,all,ranking_at_supported_count,-0.04294381039185559,-0.06999996307151717,-0.01730074912419286
neural_fold0_seed17_easy,all,coverage_with_supported_ranking,-0.018852946519240257,-0.0369571702514506,-0.00414897894122299
neural_fold0_seed17_easy,all,coverage_with_control_ranking,-0.016764399905134005,-0.03597138506650559,-0.001576201006520695
neural_fold0_seed17_easy,easy,full_total,-0.012751338854218449,-0.13262322476771055,0.12004197910350925
neural_fold0_seed17_easy,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,easy,total,-0.012751338854218449,-0.13262322476771055,0.12004197910350925
neural_fold0_seed17_easy,easy,ranking_at_control_count,0.13370813194267575,0.03704340773033105,0.2626959818025406
neural_fold0_seed17_easy,easy,ranking_at_supported_count,0.10464831907956848,0.0008717179595421082,0.22725029641311398
neural_fold0_seed17_easy,easy,coverage_with_supported_ranking,-0.14645947079689417,-0.23886115206777178,-0.04111167912740883
neural_fold0_seed17_easy,easy,coverage_with_control_ranking,-0.11739965793378691,-0.20223112415662398,-0.024194939952025603
neural_fold0_seed17_easy,hard,full_total,-0.06034520929465803,-0.11868308442141773,-0.010537856224580519
neural_fold0_seed17_easy,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed17_easy,hard,total,-0.06034520929465803,-0.11868308442141773,-0.010537856224580519
neural_fold0_seed17_easy,hard,ranking_at_control_count,-0.044320942061382096,-0.08199379142115598,-0.008427315567233272
neural_fold0_seed17_easy,hard,ranking_at_supported_count,-0.04308138186993618,-0.07760748605560173,-0.009622514972912768
