view,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99
neural_fold0_seed17_all_control_original,all,eu-locality-007,5526,13.313830360715079,13.731098649130566,3.0388558051901216,44.62635447815619,78.0568218942716
neural_fold0_seed17_all_control_original,all,eu-locality-008,157961,17.73973024700709,18.214515006924465,2.6066286131521066,62.94231474145358,129.33291840085855
neural_fold0_seed17_all_control_original,all,eu-locality-020,1225,6.415669647008513,6.529874789510041,1.7489637425359805,20.840106881217874,42.958840384020256
neural_fold0_seed17_all_control_original,all,eu-locality-048,8058,26.27956839259547,26.698045849916497,1.5674460208567553,88.62027954269679,159.6517723345381
neural_fold0_seed17_all_control_original,all,eu-locality-067,6903,28.294473746725462,29.011553933538778,2.4717055434398394,92.2999757224274,166.8480231307203
neural_fold0_seed17_all_control_original,all,eu-locality-110,8550,29.958159320265484,30.697946977148565,2.4098929398561286,120.45600575008815,270.73137899676516
neural_fold0_seed17_all_control_original,all,eu-locality-119,5639,28.601018537542586,28.946880038043894,1.1948144326668464,114.31522229375783,201.6878989025234
neural_fold0_seed17_all_control_original,all,eu-locality-124,3550,41.87045209230962,42.613481942133895,1.7436496994853834,181.40098604312882,334.5241333078915
neural_fold0_seed17_all_control_original,easy,eu-locality-007,2133,1.774527748798435,1.8525004364762494,4.209050974699413,4.244468854793484,4.740048263449418
neural_fold0_seed17_all_control_original,easy,eu-locality-008,52276,2.1502799069306846,2.3343046202023725,7.883491797901421,4.318615433573608,4.716215053066804
neural_fold0_seed17_all_control_original,easy,eu-locality-020,695,1.6148348116925002,1.6834998531827923,4.078707898932999,4.2424120646997014,4.638669667326358
neural_fold0_seed17_all_control_original,easy,eu-locality-048,2050,2.1116200854327967,2.2919612794697164,7.868422370496797,4.348689395981964,4.7313703290367375
neural_fold0_seed17_all_control_original,easy,eu-locality-067,1508,2.025537961589385,2.126958008841005,4.768314505037385,4.328427348215871,4.678394960951697
neural_fold0_seed17_all_control_original,easy,eu-locality-110,2579,2.1058393752257882,2.356118809479549,10.622530292054577,4.156085849592223,4.698559582363866
neural_fold0_seed17_all_control_original,easy,eu-locality-119,1658,2.1568402786930685,2.3455260977767742,8.044498812550117,4.232629992438416,4.682972108251527
neural_fold0_seed17_all_control_original,easy,eu-locality-124,1006,2.370464834533811,2.5758364727079335,7.973007617141881,4.401135623075478,4.737569195346084
neural_fold0_seed17_all_control_original,hard,eu-locality-007,1023,39.909276523698686,41.40975627894383,3.623493326397853,80.76034926341447,113.52879990754471
neural_fold0_seed17_all_control_original,hard,eu-locality-008,36762,51.652108693446834,52.67518424564873,1.9422344066815644,122.38985953454564,211.09711108162952
neural_fold0_seed17_all_control_original,hard,eu-locality-020,47,37.331050742960066,37.60165778915696,0.7196678606945062,59.47714101421315,69.16719818649797
neural_fold0_seed17_all_control_original,hard,eu-locality-048,2992,56.73231739329191,57.46856971561877,1.2811391095518543,125.5740140724321,211.57685641932093
neural_fold0_seed17_all_control_original,hard,eu-locality-067,2806,56.55746224795158,58.07941434406488,2.6204673605990547,130.83459135326302,207.56503644827586
neural_fold0_seed17_all_control_original,hard,eu-locality-110,2743,78.58483275217904,79.7697476849151,1.485418930264637,230.4341792808899,399.99690515787086
neural_fold0_seed17_all_control_original,hard,eu-locality-119,1895,70.29523251433935,70.83322967903267,0.7595265204356161,177.35436104322963,275.16663244604706
neural_fold0_seed17_all_control_original,hard,eu-locality-124,1362,97.48115348698195,98.83231481672954,1.3671250463506035,276.35977095428353,452.6250931187624
neural_fold0_seed17_all_supported_original,all,eu-locality-007,5526,13.313830360715079,13.731098649130566,3.0388558051901216,44.62635447815619,78.0568218942716
