model,scene,ADE,CV_ADE,FDE,CV_FDE,ADE_p95,ADE_p99,CV_ADE_p95,ADE_rows,FDE_rows,coordinate_unit,source,json_pointer
Causal CV,coupa,11.908205875359586,11.908205875359586,24.039198986980004,24.039198986980004,45.2720158430477,77.69192946370413,45.2720158430477,27778,24835,annotation_pixel,native_eqmotion_v1,/summaries/constant_velocity
Causal CV,deathCircle,24.81068191340851,24.81068191340851,54.872850094151254,54.872850094151254,74.1003428865828,186.71668884635787,74.1003428865828,35760,27426,annotation_pixel,native_eqmotion_v1,/summaries/constant_velocity
Causal CV,gates,19.761524366102755,19.761524366102755,45.46659279476251,45.46659279476251,63.51413075556157,119.37381405539219,63.51413075556157,20236,15306,annotation_pixel,native_eqmotion_v1,/summaries/constant_velocity
Causal CV,hyang,15.923360932222653,15.923360932222653,33.48042611082892,33.48042611082892,48.7622634939038,89.31745547278106,48.7622634939038,89183,76443,annotation_pixel,native_eqmotion_v1,/summaries/constant_velocity
"Transformer, uncontrolled",coupa,10.878478300739454,11.908205875359586,21.780414915177698,24.039198986980004,42.28994924301555,72.39182866229683,45.2720158430477,27778,24835,annotation_pixel,native_eqmotion_v1,/summaries/transformer/mean_seed
"Transformer, uncontrolled",deathCircle,23.55313683160257,24.81068191340851,51.34256877531333,54.872850094151254,70.36398779222847,169.9399971713316,74.1003428865828,35760,27426,annotation_pixel,native_eqmotion_v1,/summaries/transformer/mean_seed
"Transformer, uncontrolled",gates,18.40599345862533,19.761524366102755,41.83811083855539,45.46659279476251,58.933902452258856,104.45027468183919,63.51413075556157,20236,15306,annotation_pixel,native_eqmotion_v1,/summaries/transformer/mean_seed
"Transformer, uncontrolled",hyang,14.337855147100221,15.923360932222653,29.874563172416487,33.48042611082892,44.02705722173905,76.57355808045656,48.7622634939038,89183,76443,annotation_pixel,native_eqmotion_v1,/summaries/transformer/mean_seed
"EqMotion K=1, uncontrolled",coupa,10.64779550748682,11.908205875359586,21.053754900656507,24.039198986980004,41.94703623738768,73.11522983067367,45.2720158430477,27778,24835,annotation_pixel,native_eqmotion_v1,/summaries/eqmotion/mean_seed
"EqMotion K=1, uncontrolled",deathCircle,21.705611404762365,24.81068191340851,46.897331584722295,54.872850094151254,68.70006722384404,160.2508552970223,74.1003428865828,35760,27426,annotation_pixel,native_eqmotion_v1,/summaries/eqmotion/mean_seed
