label,difference_pp,CI_low_pp,CI_high_pp,source,json_pointer
Region minus intermediate (strict),0.36871401915634083,0.17315786293575464,0.6030227543011218,conditional_cost_v1,/contrasts/strict_stop/tempered
Region minus intermediate (matched count),-0.04373893473070278,-0.07376200556997747,-0.013715863891428093,conditional_cost_v1,/contrasts/matched_count/tempered
Adaptive minus frozen region,-0.06749405119197405,-0.19874758213246624,0.09748399157543386,adaptive_region_cost_v1,/contrasts/strict_stop/frozen_region
Review minus matched nomination,-2.2124360227005924,-4.5152012957782235,-0.7605986825134553,cross_objective_review_v1,/contrasts/matched_nomination
Log minus region,0.09109362471068916,-0.004544497386521629,0.2189937744455278,log_cost_v1,/contrasts/strict_stop/frozen_region
Prefix guard minus terminal control,-2.9915950464980217,-3.709427652645622,-2.41675268397179,prefix_cost_v1,/contrasts/control_terminal
Prefix guard minus matched terminal,-0.7265511791912759,-1.053924629823899,-0.39234738308331907,prefix_cost_v1,/contrasts/control_matched
Ramp minus uniform action,-0.24693168702368284,-0.2991423941811511,-0.19472097986621462,temporal_intervention_v1,/contrasts/uniform_strict
Forest minus log neural (original primary),0.13272780317521737,-0.0620631505571706,0.48133632993012676,forest_cost_v1,/contrasts/ramp/neural
Forest minus log neural (same-count risk),0.723314236986364,0.6105855343146616,0.8272772776331927,risk_ranking_v1,/contrasts/forest_strict_minus_neural_ratio
Square minus log neural (strict primary),0.04951472680647939,-0.005266840099671377,0.13863956674012579,fraction_square_v1,/contrasts/square_strict_minus_log_strict
Square minus log neural (same-count risk),-0.20727721913171016,-0.2532522458953662,-0.1407110820037416,fraction_square_v1,/contrasts/square_ratio_minus_log_ratio
Square neural minus forest (same-count risk),-0.9305914561180741,-0.9993996697641369,-0.8513657016718607,fraction_square_v1,/contrasts/square_ratio_minus_forest_ratio
Earlier joint minus unary geometry,0.0,0.0,0.0,native_joint_controls_v1,/contrasts/half_joint_minus_half_unary
