family,candidate,control,queries,switched_queries,unknown_selected_agents,predicted_budget_failure_queries,mean_query_predicted_harm,mean_query_harm_lower_bound,mean_past_agent_harm_lower_bound,easy_degradation_percent,proven_exceeds_queries,proven_exceeds_easy_harm_fraction,known_within_queries,known_within_easy_harm_fraction,indeterminate_queries,indeterminate_easy_harm_fraction
transformer,seed17_ridge_conservative,independent_coupling_reference,970,905,1144,0,0.00023999641476649166,0.015174590750728231,0.01229015853534572,2474.4595921510813,133,0.9507902003421757,344,0.018670675898638408,493,0.03053912375918554
transformer,seed17_ridge_conservative,unary_geometry_exact_count,970,905,1144,0,0.00023999641476649166,0.015174590750728231,0.01229015853534572,2474.4595921510813,133,0.9507902003421757,344,0.018670675898638408,493,0.03053912375918554
transformer,seed17_ridge_conservative,joint_coupling_exact_count,970,905,1144,0,0.00023999641476649166,0.015174590750728231,0.01229015853534572,2474.4595921510813,133,0.9507902003421757,344,0.018670675898638408,493,0.03053912375918554
transformer,seed17_ridge_moderate,independent_coupling_reference,970,926,1394,0,0.0005627184581667795,0.015961104072573756,0.01310554623520716,2620.5032826092565,102,0.9176806539682302,302,0.019472099000700693,566,0.06284724703106866
transformer,seed17_ridge_moderate,unary_geometry_exact_count,970,926,1394,0,0.0005627184581667795,0.015961104072573756,0.01310554623520716,2620.5032826092565,102,0.9176806539682302,302,0.019472099000700693,566,0.06284724703106866
transformer,seed17_ridge_moderate,joint_coupling_exact_count,970,926,1394,0,0.0005627184581667795,0.015961104072573756,0.01310554623520716,2620.5032826092565,102,0.9176806539682302,302,0.019472099000700693,566,0.06284724703106866
transformer,seed17_neural_cost_conservative,independent_coupling_reference,970,583,616,0,0.0007820363135776001,0.0007822656286621704,0.000788254192083661,107.26202890511132,16,0.6893016069586311,543,0.17065490514371323,411,0.14004348789765583
transformer,seed17_neural_cost_conservative,unary_geometry_exact_count,970,583,616,0,0.0007820363135776001,0.0007822656286621704,0.000788254192083661,107.26202890511132,16,0.6893016069586311,543,0.17065490514371323,411,0.14004348789765583
transformer,seed17_neural_cost_conservative,joint_coupling_exact_count,970,583,616,0,0.0007820363135776001,0.0007822656286621704,0.000788254192083661,107.26202890511132,16,0.6893016069586311,543,0.17065490514371323,411,0.14004348789765583
transformer,seed17_neural_cost_moderate,independent_coupling_reference,970,751,1121,0,0.0027745637038962515,0.0014950886401041816,0.0015313909570773838,178.86280112290729,1,0.12999768673557385,383,0.1875779234995931,586,0.6824243897648332
transformer,seed17_neural_cost_moderate,unary_geometry_exact_count,970,751,1121,0,0.0027745637038962515,0.0014950886401041816,0.0015313909570773838,178.86280112290729,1,0.12999768673557385,383,0.1875779234995931,586,0.6824243897648332
transformer,seed17_neural_cost_moderate,joint_coupling_exact_count,970,751,1121,0,0.0027745637038962515,0.0014950886401041816,0.0015313909570773838,178.86280112290729,1,0.12999768673557385,383,0.1875779234995931,586,0.6824243897648332
transformer,seed29_ridge_conservative,independent_coupling_reference,970,933,1360,0,0.0002506767478784353,0.003773006629615926,0.0037040415549435585,548.4971028040216,33,0.7762433797624063,301,0.06409490486017387,636,0.15966171537741994
transformer,seed29_ridge_conservative,unary_geometry_exact_count,970,933,1361,0,0.00025042133800304994,0.003773006629615926,0.0037040415549435585,548.4971028040216,33,0.7762433797624063,301,0.06409490486017387,636,0.15966171537741994
transformer,seed29_ridge_conservative,joint_coupling_exact_count,970,933,1360,0,0.0002506767478784353,0.003773006629615926,0.0037040415549435585,548.4971028040216,33,0.7762433797624063,301,0.06409490486017387,636,0.15966171537741994
transformer,seed29_ridge_moderate,independent_coupling_reference,970,963,2024,0,0.0006025122898960814,0.005189100202512142,0.005147561779559712,669.3811880999037,23,0.7164992265208208,162,0.05345486854948631,785,0.23004590492969343
transformer,seed29_ridge_moderate,unary_geometry_exact_count,970,963,2024,0,0.0006025122898960814,0.005189100202512142,0.005147561779559712,669.3811880999037,23,0.7164992265208208,162,0.05345486854948631,785,0.23004590492969343
