family,candidate,control,lower_fraction,upper_fraction,queries,predicted_harm_mean,observed_harm_lower_bound_mean,fully_scored_selected_queries,exact_harm_mean,predicted_harm_mean_on_exact_subset
transformer,seed17_ridge_conservative,independent_coupling_reference,0.0,0.25,967,0.00023223609170483332,0.014982815120536307,382,0.012296952284668096,0.0001664797125672926
transformer,seed17_ridge_conservative,independent_coupling_reference,0.25,0.5,3,0.002741407214974364,0.07699026888259251,2,0.050281120672659184,0.002849699347279966
transformer,seed17_ridge_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed17_ridge_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed17_ridge_conservative,unary_geometry_exact_count,0.0,0.25,967,0.00023223609170483332,0.014982815120536307,382,0.012296952284668096,0.0001664797125672926
transformer,seed17_ridge_conservative,unary_geometry_exact_count,0.25,0.5,3,0.002741407214974364,0.07699026888259251,2,0.050281120672659184,0.002849699347279966
transformer,seed17_ridge_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed17_ridge_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed17_ridge_conservative,joint_coupling_exact_count,0.0,0.25,967,0.00023223609170483332,0.014982815120536307,382,0.012296952284668096,0.0001664797125672926
transformer,seed17_ridge_conservative,joint_coupling_exact_count,0.25,0.5,3,0.002741407214974364,0.07699026888259251,2,0.050281120672659184,0.002849699347279966
transformer,seed17_ridge_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed17_ridge_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed17_ridge_moderate,independent_coupling_reference,0.0,0.25,970,0.0005627184581667795,0.015961104072573756,326,0.009634771590829908,0.0003503761758295199
transformer,seed17_ridge_moderate,independent_coupling_reference,0.25,0.5,0,,,0,,
transformer,seed17_ridge_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed17_ridge_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed17_ridge_moderate,unary_geometry_exact_count,0.0,0.25,970,0.0005627184581667795,0.015961104072573756,326,0.009634771590829908,0.0003503761758295199
transformer,seed17_ridge_moderate,unary_geometry_exact_count,0.25,0.5,0,,,0,,
transformer,seed17_ridge_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed17_ridge_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed17_ridge_moderate,joint_coupling_exact_count,0.0,0.25,970,0.0005627184581667795,0.015961104072573756,326,0.009634771590829908,0.0003503761758295199
transformer,seed17_ridge_moderate,joint_coupling_exact_count,0.25,0.5,0,,,0,,
transformer,seed17_ridge_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed17_ridge_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed17_neural_cost_conservative,independent_coupling_reference,0.0,0.25,895,0.0005631814435996374,0.000531626654894053,540,0.0003858865943240648,0.00027006905402905196
transformer,seed17_neural_cost_conservative,independent_coupling_reference,0.25,0.5,71,0.0032790913935226034,0.003951469903684911,11,0.011023089872377026,0.0033648372839458966
transformer,seed17_neural_cost_conservative,independent_coupling_reference,0.5,0.75,4,0.0054280858021229506,0.0006093601276248047,0,,
transformer,seed17_neural_cost_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed17_neural_cost_conservative,unary_geometry_exact_count,0.0,0.25,895,0.0005631814435996374,0.000531626654894053,540,0.0003858865943240648,0.00027006905402905196
transformer,seed17_neural_cost_conservative,unary_geometry_exact_count,0.25,0.5,71,0.0032790913935226034,0.003951469903684911,11,0.011023089872377026,0.0033648372839458966
transformer,seed17_neural_cost_conservative,unary_geometry_exact_count,0.5,0.75,4,0.0054280858021229506,0.0006093601276248047,0,,
transformer,seed17_neural_cost_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed17_neural_cost_conservative,joint_coupling_exact_count,0.0,0.25,895,0.0005631814435996374,0.000531626654894053,540,0.0003858865943240648,0.00027006905402905196
transformer,seed17_neural_cost_conservative,joint_coupling_exact_count,0.25,0.5,71,0.0032790913935226034,0.003951469903684911,11,0.011023089872377026,0.0033648372839458966
transformer,seed17_neural_cost_conservative,joint_coupling_exact_count,0.5,0.75,4,0.0054280858021229506,0.0006093601276248047,0,,
transformer,seed17_neural_cost_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed17_neural_cost_moderate,independent_coupling_reference,0.0,0.25,898,0.0021870047370073347,0.0012281935822143805,381,0.0010392133591203942,0.000971348724160539
transformer,seed17_neural_cost_moderate,independent_coupling_reference,0.25,0.5,67,0.00962057857732497,0.005063263797480276,2,0.010220376172573703,0.012005403637886047
transformer,seed17_neural_cost_moderate,independent_coupling_reference,0.5,0.75,5,0.016563554853200914,0.0016158939282728425,0,,
transformer,seed17_neural_cost_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed17_neural_cost_moderate,unary_geometry_exact_count,0.0,0.25,898,0.0021870047370073347,0.0012281935822143805,381,0.0010392133591203942,0.000971348724160539
transformer,seed17_neural_cost_moderate,unary_geometry_exact_count,0.25,0.5,67,0.00962057857732497,0.005063263797480276,2,0.010220376172573703,0.012005403637886047
transformer,seed17_neural_cost_moderate,unary_geometry_exact_count,0.5,0.75,5,0.016563554853200914,0.0016158939282728425,0,,
