policy,ADE_gain_percent,CI_low,CI_high,hard_gain_percent,positive_easy_degradation_percent,mean_switch_percent,zero_harmed_query_seed_instances,max_zero_absolute_harm,unknown_ADE_selected_instances,incomplete_risk_selected_instances
base_event_matched,0.951213508380816,0.20581241966451946,1.9558533451057958,1.2766934698203252,0.31826640032796005,0.8415075445503994,0,0.0,120,1181
base_event_net,5.572623802573887,3.39533140402272,7.808024506299399,7.760141252832314,7.152864045670026,30.16151179286435,22,15.72876409490833,2177,30512
base_event_strict,1.2908381036839582,0.5110216460377737,2.298204856863176,1.738418896659344,0.6056687914881675,2.7596971559055357,3,12.562308246371906,283,3064
base_geometric_matched,0.9510889827847396,0.20581241966451946,1.9554797683175666,1.2765128403083357,0.31826640032796005,0.8415075445503994,0,0.0,120,1181
base_geometric_net,5.572019110231902,3.394649796053856,7.807070593141452,7.759078133851785,7.152575667732375,30.16113247911878,22,15.72876409490833,2176,30511
base_geometric_strict,1.2906691562083572,0.5110216460377737,2.297698014436372,1.7382007943426563,0.6056687914881675,2.7591281852871785,3,12.562308246371906,283,3063
kinematic_event_matched,0.9510889827847396,0.20581241966451946,1.9554797683175666,1.2765128403083357,0.31826640032796005,0.8415075445503994,0,0.0,120,1181
kinematic_event_net,5.572812893286638,3.396105510462572,7.80799318004184,7.759990940113298,7.153336000366401,30.166063557811214,22,15.72876409490833,2176,30516
kinematic_event_strict,1.2906067501560758,0.5110216460377737,2.297510796279528,1.7382108241782046,0.6056687914881675,2.761783381506179,3,12.562308246371906,283,3065
kinematic_geometric_matched,0.9510889827847396,0.20581241966451946,1.9554797683175666,1.2765128403083357,0.31826640032796005,0.8415075445503994,0,0.0,120,1181
kinematic_geometric_net,5.572715811441606,3.395788133058214,7.807974512374257,7.759896776434646,7.152130082297275,30.166253214683998,22,15.72876409490833,2176,30516
kinematic_geometric_strict,1.2906341715750282,0.5110216460377737,2.297593060536385,1.738221510032459,0.6056687914881675,2.761783381506179,3,12.562308246371906,283,3065
mse_matched,0.9512245250484469,0.20581241966451946,1.9558863951086884,1.2766934698203252,0.3180747904590109,0.8415075445503994,0,0.0,120,1181
mse_strict,1.291942217896369,0.5110216460377737,2.3008505052371704,1.739588553676491,0.5856928243632764,2.7926974517702567,33,12.562308246371906,283,3078
net_only,5.573841028717549,3.3982375726584584,7.806862687908103,7.762499649700636,7.111092224053012,30.246288414999583,79,19.684395973813263,2178,30557
previous_matched,0.951213508380816,0.20581241966451946,1.9558533451057958,1.2766934698203252,0.31826640032796005,0.8415075445503994,0,0.0,120,1181
previous_protected_net,5.572304529871488,3.394981185860127,7.807606422163104,7.7597500505373285,7.160111614203479,30.16511527344728,25,15.72876409490833,2176,30511
previous_protected_strict,1.2907100442189736,0.5110216460377737,2.297820678468221,1.7384129807369837,0.6095009558251763,2.762731665870108,5,12.562308246371906,283,3064
stop_matched,0.951213508380816,0.20581241966451946,1.9558533451057958,1.2766934698203252,0.31826640032796005,0.8415075445503994,0,0.0,120,1181
stop_mse_strict,1.291897417605306,0.5110216460377737,2.300716104363981,1.739562396639441,0.6094308265988224,2.7644385777251794,0,0.0,283,3064
