policy,ADE_gain_percent,CI_low,CI_high,hard_gain_percent,positive_easy_degradation_percent,mean_switch_percent,zero_harmed_query_seed_instances,worst_zero_absolute_harm,unknown_ADE_selected_instances,incomplete_risk_selected_instances
all_harm_guard_matched,-0.0003183090133390687,-0.001179558663561009,0.0004392027934535525,0.000228257893367112,-0.0,0.001517254982286048,0,0.0,0,2
all_harm_guard_online,-0.0003183090133390687,-0.001179558663561009,0.0004392027934535525,0.000228257893367112,-0.0,0.001517254982286048,0,0.0,0,2
native_without_guard,7.633080843114259,5.96322487698451,9.302157577621328,10.657509119427717,21.709675066868343,88.4134823277726,9000,32.33295038433929,6906,80712
net_only_matched,0.016691299475662946,0.0014718712742861628,0.033458713556763775,0.02298684569266851,0.012478099419804822,0.001517254982286048,0,0.0,0,4
net_only_online,5.573841028717549,3.3982375726584584,7.806862687908103,7.762499649700636,7.111092224053012,30.246288414999583,79,19.684395973813263,2178,30557
parent_asym_strict,0.3403951071678041,0.018799234258015662,0.8675569716748988,0.4014610542520669,0.10152789189628308,0.8415075445503994,1,0.4503355022655274,48,825
parent_mse_strict,1.291942217896369,0.5110216460377737,2.3008505052371704,1.739588553676491,0.5856928243632764,2.7926974517702567,33,12.562308246371906,283,3078
stop_veto_matched,0.016691299475662946,0.0014718712742861628,0.033458713556763775,0.02298684569266851,0.012478099419804822,0.001517254982286048,0,0.0,0,4
stop_veto_online,5.574634927544878,3.397573184340339,7.8083174052408335,7.762178145926315,7.161939465993478,30.176684342687203,17,15.72876409490833,2177,30521
zero_harm_guard_matched,0.016691299475662946,0.0014718712742861628,0.033458713556763775,0.02298684569266851,0.012478099419804822,0.001517254982286048,0,0.0,0,4
zero_harm_guard_online,5.572304529871488,3.394981185860127,7.807606422163104,7.7597500505373285,7.160111614203479,30.16511527344728,25,15.72876409490833,2176,30511
