view,action,policy,complete_selected,predicted_positive,observed_positive,predicted_net,observed_net,predicted_denominator,observed_denominator
coupa_seed17,damped_velocity_005,old_net,6045,3799.4910184690757,2743.6445859188375,2939.64171577191,2076.4690920342528,4466.076457531732,3718.977949275846
deathCircle_seed17,damped_velocity_005,old_net,8034,2418.159217766441,932.8206032511127,2209.832025698238,809.7956024165605,1320.5681051704855,968.4618064273257
gates_seed17,damped_velocity_005,old_net,3920,1942.4498373157026,827.9646993428119,1824.9018187269537,732.1288589616474,900.847135731414,596.1483824765885
hyang_seed17,damped_velocity_005,old_net,21164,6757.070725211744,6287.0572806449745,6074.099055211763,5741.014400735703,4386.828311395906,5579.799056614662
coupa_seed17,damped_velocity_005,old_strict,3754,713.0741617242455,316.36882945744753,-73.1576704957433,-289.585520507865,3435.7356419126045,2874.420208943761
deathCircle_seed17,damped_velocity_005,old_strict,4247,907.5775794696553,240.73944422177144,738.7204841806694,146.24034080342707,686.640507864086,535.3216649503659
gates_seed17,damped_velocity_005,old_strict,1472,314.86383837146195,201.0858171254611,224.80378889147704,126.5326374577822,386.0505744681833,336.93181868183365
hyang_seed17,damped_velocity_005,old_strict,8456,1362.7651757242197,1038.8070251880608,874.4595939822148,613.9562737912147,2101.036128818798,2426.0908010252556
coupa_seed17,damped_velocity_005,old_positive_point,975,29.42118710553374,1.1818767123121292,-337.9586424016502,-507.4986851983572,1801.749614785129,2396.4942791468143
deathCircle_seed17,damped_velocity_005,old_positive_point,159,2.208538365053119,2.1945110067687095,-33.92446200642728,-45.0753789591312,147.1795519323864,191.66102386276398
gates_seed17,damped_velocity_005,old_positive_point,126,1.784730781721448,1.5393663216129925,-27.455138308266218,-35.482038697896364,131.61386753241922,162.3179776148204
hyang_seed17,damped_velocity_005,old_positive_point,1182,18.169165613982372,8.326562608260748,-204.3408507192488,-268.46097847724576,1021.7706434305899,1321.4031602603188
coupa_seed17,damped_velocity_005,old_positive_population,3038,177.4239209514192,35.44789289888941,-582.1038610719604,-584.0265121090756,3262.739593830027,2811.2128186737623
deathCircle_seed17,damped_velocity_005,old_positive_population,1752,112.96886663347864,56.592057462394024,4.067315786172166,-40.93205781226098,434.26534812821967,480.34699629090323
