action,policy,ADE_gain,CI,FDE_gain,hard_gain,worst_site_seed_easy_degradation,worst_site_ADE_gain,switch_rate,zero_CV_harmed_query_seed_instances,incomplete_selected_query_seed_instances
damped_velocity_005,old_net,5.281167632728537,"[3.9558913413655254, 6.606443924091549]",5.608118717485352,8.241734704456494,13.523158942904745,3.4524921550319276,0.268933445610202,3,24659
damped_velocity_005,old_strict,3.634682690175844,"[2.6422692738600757, 4.685964407975451]",4.649955325383234,4.723212203027554,2.49439089976351,2.277546745323389,0.12252023638832625,0,9776
damped_velocity_005,old_positive_point,0.12405193542864013,"[0.02317214654763422, 0.2850477403262275]",0.1730313347173329,0.0003629427327761503,0.0,0.017816647826840448,0.014592199792136067,0,328
damped_velocity_005,old_positive_population,0.9212953195597118,"[0.4881816678120654, 1.533319829689861]",1.2102718252374882,0.6228797697884259,0.0,0.3621208541874643,0.06027864387749684,0,3199
damped_velocity_005,positive_point,0.08177942822872875,"[0.019179146331865793, 0.18847259997168964]",0.11390640978937716,0.00011387024038966853,0.0,0.015276321964718953,0.01002715886418292,0,235
damped_velocity_005,net_point,0.5359877836873306,"[0.20981980884233753, 1.1107291930470304]",0.7358855287406846,0.023266120884732344,0.0,0.1811735959112104,0.05212150177898147,0,2175
damped_velocity_005,positive_population,0.7383130256591902,"[0.3306794225313908, 1.3552036301571369]",0.981289838306712,0.3790182279212795,0.0,0.2628359205628428,0.058294832988157824,0,3041
damped_velocity_005,net_population,1.0944676602633485,"[0.5540007230557503, 1.903244902867582]",1.4099221665200834,0.8525562983296403,0.0,0.43212605203782894,0.08023813316946979,0,4794
damped_velocity_005,net_matched_positive,0.8443906318808925,"[0.39569528122564424, 1.5194909467287965]",1.101005313239134,0.6288001377945857,0.11744351638578454,0.3080214776350343,0.058294832988157824,0,3300
transformer,old_net,8.37914591535389,"[6.729993859539871, 9.935973210495353]",9.257455367932241,10.251325488976534,21.732633911349563,5.921205542231933,0.5436495292716418,21,50943
transformer,old_strict,2.43682666074754,"[1.6792440292285882, 3.111364306600029]",2.694479605967964,2.291813184107186,1.066900162011275,1.2843901634924215,0.0667554260831304,0,4960
transformer,old_positive_point,0.013424164817674167,"[0.0023143968750360955, 0.031447857944547075]",0.015165233095026931,4.7692649662867126e-05,0.0,0.0005889742521247854,0.0023214001228976534,0,88
transformer,old_positive_population,1.280156046376049,"[0.5647475654103257, 2.1160313342163284]",1.3922554142917014,0.6424616565252672,0.11201763697725742,0.3085064718683306,0.1075923439313594,2,7219
transformer,positive_point,0.002736288880567095,"[0.000648661632765557, 0.005267083608515022]",0.002657942102665678,5.521286996212904e-05,0.0,1.2250064240770797e-05,0.0013181152658610043,0,66
transformer,net_point,1.326353899391683,"[0.34466469059601934, 2.3080431081873467]",1.3898243907786767,0.5653115753378207,0.0,0.22312083129747418,0.05440307395859412,0,2172
transformer,positive_population,1.04292258170543,"[0.4253962459562055, 1.7490544468590108]",1.1453906574161288,0.5851528599527367,0.3123592465004599,0.20678294338787317,0.09562309868985032,2,6462
transformer,net_population,2.9391951299886423,"[1.1159886535132224, 4.762401606464062]",3.1871204389430448,2.434926304781182,0.8635637777923311,0.9610885826503046,0.19584347997602736,3,13669
transformer,net_matched_positive,1.459615978032072,"[0.6588644630896368, 2.260367492974508]",1.5632729438931956,1.1988928331700344,0.7287461232198922,0.3224049525226813,0.09561740898366676,2,7023
eqmotion,old_net,11.0065270205705,"[8.853700100060797, 13.159353941080205]",11.749071158521001,13.330014415520306,40.94488259287077,8.086102928053474,0.6916160282816328,21,66006
eqmotion,old_strict,1.6093050489115466,"[0.7162681896853484, 3.039280619820001]",1.7306400500360086,0.5271317871413939,0.45216089635244927,0.6679975556121986,0.03926466237283507,0,1729
eqmotion,old_positive_point,0.0013396633081391718,"[0.0005001781941182948, 0.0024170343474100298]",0.0014012174838429203,0.0,0.0,0.00035025420954681863,9.862157384859312e-05,0,1
eqmotion,old_positive_population,0.9555600278780357,"[0.35360620976072066, 1.6290514688420576]",0.9874175197173957,0.25040454713598503,0.03806123130098982,0.21775916285021735,0.044233672439821875,0,2584
eqmotion,positive_point,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0,0
eqmotion,net_point,1.234337299543495,"[0.2790658400730839, 2.8586285586657243]",1.3536602667876292,0.03969418202876274,0.0,0.23451437362490557,0.04074208941183611,0,1279
eqmotion,positive_population,0.7905371032192632,"[0.28550148837307443, 1.3558636588587163]",0.82334780395317,0.28273972511448087,0.6417634824416929,0.13315789496844976,0.03895362510146643,0,2352
eqmotion,net_population,2.826822843958002,"[0.8690457377094563, 5.581929709546868]",3.03656188048699,1.6807458135652902,1.8383574960210813,0.7650643551666447,0.13712381559282946,6,9433
eqmotion,net_matched_positive,0.8889990304950829,"[0.32606440440344775, 1.4990258637819305]",0.9406756466786348,0.46246507567802575,0.7347380468013309,0.15738538897095422,0.03895362510146643,0,2505
