action,policy,ADE_gain,CI,FDE_gain,hard_gain,worst_easy_degradation,switch_rate,zero_CV_harmed,unknown_selected,incomplete_selected
damped_velocity_005,old_strict,3.634682690175844,"[2.6422692738600757, 4.685964407975451]",4.649955325383234,4.723212203027554,2.49439089976351,0.12252023638832625,0,857,9776
damped_velocity_005,positive_population,0.7383130256591902,"[0.3306794225313908, 1.3552036301571369]",0.981289838306712,0.3790182279212795,0.0,0.058294832988157824,0,200,3041
damped_velocity_005,net_point,0.5359877836873306,"[0.20981980884233753, 1.1107291930470304]",0.7358855287406846,0.023266120884732344,0.0,0.05212150177898147,0,113,2175
damped_velocity_005,parent_net_population,1.0944676602633485,"[0.5540007230557503, 1.903244902867582]",1.4099221665200834,0.8525562983296403,0.0,0.08023813316946979,0,347,4794
damped_velocity_005,net_population,1.09441580268419,"[0.5539488654765917, 1.903244902867582]",1.4098294658203945,0.8524343474185708,0.0,0.08023813316946979,0,347,4791
damped_velocity_005,net_clipped_population,0.8708282653582949,"[0.4285331330633996, 1.5507709052989926]",1.1627232235972451,0.4349091492718671,0.0,0.07293255042976247,0,297,4059
damped_velocity_005,net_selected,0.7556968159129235,"[0.2857264734210885, 1.5189957253223225]",0.9994481376027264,0.3522491739356426,0.0,0.06193624494564434,0,177,2937
damped_velocity_005,net_clipped_selected,0.5566871129774803,"[0.219359713888595, 1.1493363937652794]",0.7647255345073989,0.031334974902336166,0.0,0.05383410334023684,0,125,2261
damped_velocity_005,matched_net_population,0.7590114276425725,"[0.3230084251442167, 1.453420061916419]",1.0012948910118336,0.46027255233376807,0.0,0.05383410334023684,0,167,2634
damped_velocity_005,matched_net_clipped_population,0.6603990358954842,"[0.28770847299133817, 1.278162376649744]",0.890315758640306,0.2266429005111953,0.0,0.05383410334023684,0,156,2398
damped_velocity_005,matched_net_selected,0.6335250947208826,"[0.2476767529812962, 1.291518581925205]",0.8511600203953779,0.20766729717189847,0.0,0.05383410334023684,0,136,2441
transformer,old_strict,2.43682666074754,"[1.6792440292285882, 3.111364306600029]",2.694479605967964,2.291813184107186,1.066900162011275,0.0667554260831304,0,387,4960
transformer,positive_population,1.04292258170543,"[0.4253962459562055, 1.7490544468590108]",1.1453906574161288,0.5851528599527367,0.3123592465004599,0.09562309868985032,2,478,6462
transformer,net_point,1.326353899391683,"[0.34466469059601934, 2.3080431081873467]",1.3898243907786767,0.5653115753378207,0.0,0.05440307395859412,0,101,2172
transformer,parent_net_population,2.9391951299886423,"[1.1159886535132224, 4.762401606464062]",3.1871204389430448,2.434926304781182,0.8635637777923311,0.19584347997602736,3,984,13669
transformer,net_population,2.9392025388519483,"[1.1159886535132224, 4.762416424190674]",3.18714795025182,2.4349259768823126,0.8658026707597744,0.19584347997602736,3,984,13666
transformer,net_clipped_population,2.273612952553103,"[0.9592876987406629, 3.5879382063655427]",2.4419452946884137,1.4354965023119504,0.3675666616548501,0.16516458423420347,2,767,10614
transformer,net_selected,2.1828115855244943,"[0.5410664980406932, 3.8245566730082947]",2.3469344484482875,1.6289062559939782,0.0,0.11133237746269449,1,419,6590
transformer,net_clipped_selected,1.3953841048460065,"[0.3635632184295634, 2.4272049912624496]",1.4634795177581483,0.5954165079821938,0.0,0.06464833822648065,0,143,2741
transformer,matched_net_population,1.8549650919803262,"[0.5892918599455177, 3.1206383240151347]",1.9881563847619992,1.4178204007216588,0.0,0.06464833822648065,0,239,3781
transformer,matched_net_clipped_population,1.6320067377652596,"[0.5341189209952968, 2.729894554535223]",1.7414610510195079,0.9364264374113973,0.0,0.06464833822648065,0,201,3240
transformer,matched_net_selected,1.6944233646936646,"[0.43916457453712643, 2.949682154850203]",1.8032833458314521,1.136177394422233,0.0,0.06464833822648065,0,195,3330
eqmotion,old_strict,1.6093050489115466,"[0.7162681896853484, 3.039280619820001]",1.7306400500360086,0.5271317871413939,0.45216089635244927,0.03926466237283507,0,104,1729
eqmotion,positive_population,0.7905371032192632,"[0.28550148837307443, 1.3558636588587163]",0.82334780395317,0.28273972511448087,0.6417634824416929,0.03895362510146643,0,158,2352
eqmotion,net_point,1.234337299543495,"[0.2790658400730839, 2.8586285586657243]",1.3536602667876292,0.03969418202876274,0.0,0.04074208941183611,0,49,1279
eqmotion,parent_net_population,2.826822843958002,"[0.8690457377094563, 5.581929709546868]",3.03656188048699,1.6807458135652902,1.8383574960210813,0.13712381559282946,6,665,9433
eqmotion,net_population,2.826835758453839,"[0.8690457377094563, 5.581929709546868]",3.0366065032045997,1.6807458135652902,1.8383574960210813,0.13712381559282946,6,665,9432
eqmotion,net_clipped_population,1.9836866644488416,"[0.6827746079242081, 3.860011896534349]",2.098833104631151,0.4746804183220654,0.7696681034695674,0.10065279895612857,0,416,6044
eqmotion,net_selected,2.2614370008423674,"[0.5227781159801381, 4.994356395058631]",2.4659116496228233,1.218581703067223,0.26994683944141507,0.08949338856141469,5,335,5406
eqmotion,net_clipped_selected,1.2994887128543242,"[0.29967721485433807, 3.000434589662673]",1.4208677385026625,0.0497211480746107,0.0,0.04439108764423405,0,73,1498
eqmotion,matched_net_population,1.525671436357054,"[0.3844310658072059, 3.369958907437737]",1.687673839052711,0.5957361822946872,0.20898136257274658,0.04439108764423405,0,97,2077
eqmotion,matched_net_clipped_population,1.4337635432692841,"[0.37453925011883826, 3.192681271382092]",1.555503272504255,0.1990236899413078,0.0,0.04439108764423405,0,78,1628
eqmotion,matched_net_selected,1.4502713613892326,"[0.3260654860045842, 3.3200410488623215]",1.6100427293284647,0.47042689963436024,0.0,0.04439108764423405,0,89,1934
