variant,seed,step,mode,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable
dense_control,17,2000,proposal,15430,1144.4110201492172,2369.9969658426585,1127.6525371766852,-1.4861388965159872,1.1444110745058238,1.1276525907373067,16.75848297253202,8566,6864,1549,24.066474926039653,0.02406647606913587,,zero_error_CV_denominator,-0.30132722051063876,-0.042411048351786995,0.9966947504860661,4081.6916915532724,17570.2409039451,1589,13790,1127.0497075801927,0.05345880726715935,17.36131256902463,False
dense_control,17,4000,proposal,15430,1140.5085153393275,2365.9675087138226,1127.6525371766852,-1.1400655555504624,1.140508569510575,1.1276525907373067,12.85597816264204,8566,6864,1549,19.60432449073867,0.01960432542189412,,zero_error_CV_denominator,-0.17492908964895637,-0.005858188013552201,0.9966947504860661,4078.505670641546,17576.82228635023,1583,13796,1126.6307314478884,0.09061352633985553,13.877783891438742,False
dense_control,17,6000,proposal,15430,1134.1515728048207,2370.6099716281533,1127.6525371766852,-0.5763331712450581,1.1341516266741298,1.1276525907373067,6.499035628135535,8566,6864,1549,14.682094919431107,0.014682095616793196,,zero_error_CV_denominator,0.1464780232577012,0.09894027055464827,0.9966947504860661,4073.2061170742913,17567.5649477897,3060,12319,1124.4591981865228,0.28318465882739563,9.692374618297912,False
dense_control,17,10000,proposal,15430,1125.57661964066,2352.1075629963643,1127.6525371766852,0.1840919492118176,1.1255766731026808,1.1276525907373067,-2.0759175360252575,8566,6864,1549,10.236734462061145,0.01023673494827994,,zero_error_CV_denominator,0.6880545175601105,0.3068834073016613,0.9966947504860661,4063.2964743726166,17559.294599230812,4376,11003,1118.791400131319,0.785803849433242,6.785219509340992,False
dense_control,29,2000,proposal,15430,1142.279032601156,2376.016641786066,1127.6525371766852,-1.2970746699237035,1.1422790868564987,1.1276525907373067,14.626495424470619,8566,6864,1549,21.949230957555674,0.021949232000088206,,zero_error_CV_denominator,-0.2164965961604981,-0.011978070726925694,0.9966947504860661,4080.5531034874116,17572.688148822992,2197,13182,1126.6590288031196,0.08810412257423961,15.620003798036565,False
dense_control,29,4000,proposal,15430,1143.9124682893985,2368.285611892326,1127.6525371766852,-1.4419274179459096,1.1439125226223255,1.1276525907373067,16.259931112713222,8566,6864,1549,24.051951203215506,0.024051952345621883,,zero_error_CV_denominator,-0.2578307563509963,-0.01711645177169263,0.9966947504860661,4084.768063130701,17567.094700723053,1613,13766,1126.2754756903403,0.1221175354061299,17.636992599058136,False
dense_control,29,6000,proposal,15430,1137.089454148077,2374.3916766132775,1127.6525371766852,-0.8368638973685227,1.1370895081569279,1.1276525907373067,9.436916971391733,8566,6864,1549,20.92370835348277,0.02092370934730559,,zero_error_CV_denominator,0.19322688404934674,0.11658978579570656,0.9966947504860661,4076.152727413686,17563.61428070613,3202,12177,1122.9998111972413,0.41260280326180787,14.089642950835762,False
dense_control,29,10000,proposal,15430,1125.0612830482378,2349.4074635594716,1127.6525371766852,0.22979189449040538,1.1250613364857813,1.1276525907373067,-2.591254128447552,8566,6864,1549,12.55664525049855,0.012556645846907195,,zero_error_CV_denominator,0.847965513600335,0.38583809111653045,0.9966947504860661,4058.019890923853,17567.420296875178,4491,10888,1116.7860592296056,0.9636370769214087,8.275223818632286,False
dense_control,43,2000,proposal,15430,1142.1978528858829,2371.8393472067205,1127.6525371766852,-1.289875669114804,1.14219790713737,1.1276525907373067,14.54531570919769,8566,6864,1549,21.467322197807707,0.0214673232174508,,zero_error_CV_denominator,-0.2330223463619996,-0.03035094675349903,0.9966947504860661,4087.2778389718733,17569.59078970367,1850,13529,1126.9546036938048,0.06189260076759906,15.243249192078283,False
dense_control,43,4000,proposal,15430,1139.3661860254797,2377.3031505165786,1127.6525371766852,-1.0387640219497118,1.1393662401424698,1.1276525907373067,11.713648848794454,8566,6864,1549,19.111742406286563,0.01911174331404562,,zero_error_CV_denominator,-0.09787776331136033,0.015668683199088207,0.9966947504860661,4079.5327168684603,17567.210735129927,2192,13187,1125.9554092821866,0.15050096005172486,13.410776743293283,False
dense_control,43,6000,proposal,15430,1135.5535010780802,2363.2028544772575,1127.6525371766852,-0.7006558883090541,1.1355535550139773,1.1276525907373067,7.9009639013948085,8566,6864,1549,15.696821802269373,0.0156968225478284,,zero_error_CV_denominator,0.07211111660788694,0.08413402847573526,0.9966947504860661,4080.8473924902237,17578.884081749293,2412,12967,1124.6426834396352,0.26691322351704017,10.910817638444824,False
dense_control,43,10000,proposal,15430,1125.9853225672935,2353.2115215190793,1127.6525371766852,0.1478482559500005,1.1259853760487266,1.1276525907373067,-1.6672146093917344,8566,6864,1549,9.530149653799036,0.009530150106456855,,zero_error_CV_denominator,0.6170250929649734,0.28271001931483575,0.9966947504860661,4065.569828983013,17565.81525601542,4393,10986,1119.5924196253902,0.7147696019445093,6.392902941903334,False
