variant,seed,step,mode,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable,gain_over_dense_pp,requested_rate,mean_soft_gate,expected_action_gain_percent,zero_action_rows,all_baseline,clip_fraction,no_greater_easy_harm_than_dense,training_signal_not_research_gate
expected_cost,17,2000,proposal,15430,1144.4110201492172,2369.9969658426585,1127.6525371766852,-1.4861388965159872,1.1444110745058238,1.1276525907373067,16.75848297253202,8566,6864,1549,24.066474926039653,0.02406647606913587,,zero_error_CV_denominator,-0.30132722051063876,-0.042411048351786995,0.9966947504860661,4081.6916915532724,17570.2409039451,1589,13790,1127.0497075801927,0.05345880726715935,17.36131256902463,False,0.0,1.0,0.5,-0.7430694482579936,51,False,,True,False
expected_cost,17,2000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.486138896515979,0.0,0.5,-0.7430694482579936,15430,True,,True,False
expected_cost,17,4000,proposal,15430,1141.0485218748793,2365.819630865546,1127.6525371766852,-1.1879532264197135,1.141048576071776,1.1276525907373067,13.395984698193978,8566,6864,1549,20.852116155145573,0.020852117145567946,,zero_error_CV_denominator,-0.16138698578986865,0.012066947738842426,0.9966947504860661,4079.3056194382775,17569.60516565525,2086,13293,1126.3292600301456,0.11734795097898543,14.719261844733564,False,-0.047887670869253225,1.0,0.36296889185905457,-0.43116774464881935,51,False,,False,False
expected_cost,17,4000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.1400655555504586,0.0,0.36296889185905457,-0.43116774464881935,15430,True,,True,False
expected_cost,17,6000,proposal,15430,1135.1070212189545,2367.81368149318,1127.6525371766852,-0.661062144278346,1.135107075133645,1.1276525907373067,7.454484042269232,8566,6864,1549,15.763444183704632,0.015763444932428056,,zero_error_CV_denominator,0.11498473339313087,0.09461722172279252,0.9966947504860661,4075.217603300382,17567.486140402732,2844,12535,1124.4129382838858,0.28728697768112266,10.694082935068613,False,-0.08472897303329913,1.0,0.28067639470100403,-0.18486920019851194,51,False,,False,False
expected_cost,17,6000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,0.5763331712450475,0.0,0.28067639470100403,-0.18486920019851194,15430,True,,True,False
expected_cost,17,10000,proposal,15430,1125.578840655281,2351.8979951556457,1127.6525371766852,0.1838949900823117,1.1255788941174074,1.1276525907373067,-2.0736965214040723,8566,6864,1549,10.111117181360742,0.010111117661613036,,zero_error_CV_denominator,0.6816733199270675,0.310555807837376,0.9966947504860661,4061.4570865498717,17563.76896532696,4351,11028,1118.8469853551378,0.7808745629743208,6.731855300143355,False,-0.00019695912950428105,1.0,0.2596183121204376,0.05043433897330418,51,False,1.0,True,False
expected_cost,17,10000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,-0.18409194921182043,0.0,0.2596183121204376,0.05043433897330418,15430,True,1.0,True,False
cost_supervised,17,2000,proposal,15430,1144.4110201492172,2369.9969658426585,1127.6525371766852,-1.4861388965159872,1.1444110745058238,1.1276525907373067,16.75848297253202,8566,6864,1549,24.066474926039653,0.02406647606913587,,zero_error_CV_denominator,-0.30132722051063876,-0.042411048351786995,0.9966947504860661,4081.6916915532724,17570.2409039451,1589,13790,1127.0497075801927,0.05345880726715935,17.36131256902463,False,0.0,1.0,0.5,-0.7430694482579936,51,False,,True,False
cost_supervised,17,2000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.486138896515979,0.0,0.5,-0.7430694482579936,15430,True,,True,False
