trial,site,recording,mode,rows,ade,cv_ade,gain_percent,intervention_rate
ade_mask_only_bookstore_seed17,bookstore,bookstore/video0,uncontrolled,2601,1084.6136364535828,1074.2519411608769,-0.964549831905237,1.0
ade_mask_only_bookstore_seed17,bookstore,bookstore/video1,uncontrolled,1662,794.2891520661382,776.3253572015786,-2.313951837063999,1.0
ade_mask_only_bookstore_seed17,bookstore,bookstore/video2,uncontrolled,729,616.9741803313323,591.3380134598498,-4.33528139371393,1.0
ade_mask_only_bookstore_seed17,bookstore,bookstore/video3,uncontrolled,856,502.4833498396361,477.7487767400338,-5.1773179344133835,1.0
ade_mask_only_bookstore_seed17,bookstore,bookstore/video4,uncontrolled,212,583.0529839754943,536.9894501440408,-8.57810778574839,1.0
ade_mask_only_bookstore_seed17,bookstore,bookstore/video5,uncontrolled,352,436.4645360855877,412.81815739601626,-5.728037458121671,1.0
ade_mask_only_bookstore_seed17,bookstore,bookstore/video6,uncontrolled,532,374.1855348263351,358.492541093981,-4.377495187058877,1.0
ade_mask_only_bookstore_seed17,bookstore,bookstore/video0,fixed_probability_gate,2601,1074.2626959315287,1074.2519411608769,-0.0010011404438570182,0.0015378700499807767
ade_mask_only_bookstore_seed17,bookstore,bookstore/video1,fixed_probability_gate,1662,776.3484912723206,776.3253572015786,-0.002979945267456152,0.0018050541516245488
ade_mask_only_bookstore_seed17,bookstore,bookstore/video2,fixed_probability_gate,729,591.5363807730455,591.3380134598498,-0.03354550336365225,0.00823045267489712
ade_mask_only_bookstore_seed17,bookstore,bookstore/video3,fixed_probability_gate,856,477.7445458241954,477.7487767400338,0.0008855942797536542,0.0011682242990654205
ade_mask_only_bookstore_seed17,bookstore,bookstore/video4,fixed_probability_gate,212,536.9894501440408,536.9894501440408,0.0,0.0
ade_mask_only_bookstore_seed17,bookstore,bookstore/video5,fixed_probability_gate,352,413.79629903467935,412.81815739601626,-0.2369424942044729,0.028409090909090908
ade_mask_only_bookstore_seed17,bookstore,bookstore/video6,fixed_probability_gate,532,358.492541093981,358.492541093981,0.0,0.0
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video0,uncontrolled,2601,1082.3668044416918,1074.2519411608769,-0.7553966597487083,1.0
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video1,uncontrolled,1662,790.4648025567687,776.3253572015786,-1.8213298360056918,1.0
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video2,uncontrolled,729,611.4528629736528,591.3380134598498,-3.4015823532320244,1.0
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video3,uncontrolled,856,497.0092881530346,477.7487767400338,-4.03151454294175,1.0
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video4,uncontrolled,212,567.5224288367963,536.9894501440408,-5.68595503776943,1.0
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video5,uncontrolled,352,430.09299209015387,412.81815739601626,-4.1846111622376725,1.0
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video6,uncontrolled,532,370.25176239809497,358.492541093981,-3.2801857657147826,1.0
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video0,fixed_probability_gate,2601,1074.2563470516272,1074.2519411608769,-0.0004101357029551167,0.0015378700499807767
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video1,fixed_probability_gate,1662,776.341318856271,776.3253572015786,-0.0020560522137058612,0.0018050541516245488
log_ade_mask_only_bookstore_seed17,bookstore,bookstore/video2,fixed_probability_gate,729,591.45903131174,591.3380134598498,-0.020465089193599795,0.00823045267489712
