candidate,reference,subset,point_percent,conditional_recording_ci95,valid_resamples,invalid_zero_denominator_resamples,rows,records,uncertainty_scope
expected_cost:proposal,dense_control:proposal,all,-0.06116136931045013,"[-0.1951391921042831, -0.021809458601466113]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
expected_cost:proposal,dense_control:proposal,hard,0.0005036008622868949,"[-0.024001347641741316, 0.019889649213531653]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
expected_cost:proposal,dense_control:proposal,moving,-0.014425492531010284,"[-0.06567057118290223, 0.004407547282758018]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
expected_cost:hard_action,dense_control:proposal,all,1.7438430115775112,"[0.8108312426325649, 5.899569023848003]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
expected_cost:hard_action,dense_control:proposal,hard,0.05803866492498526,"[0.014251033389893322, 0.2494771043823455]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
expected_cost:hard_action,dense_control:proposal,moving,0.17078143954442876,"[0.09544518720716236, 0.4628294269582531]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
expected_cost:hard_action,expected_cost:proposal,all,1.805004380887961,"[0.8421816590228937, 6.079203022139952]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
expected_cost:hard_action,expected_cost:proposal,hard,0.05753506406269836,"[0.007296541337656398, 0.2579304502577683]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
expected_cost:hard_action,expected_cost:proposal,moving,0.18520693207543906,"[0.09529284097133846, 0.5251676575637135]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
cost_supervised:proposal,dense_control:proposal,all,-0.004010439309477712,"[-0.06017935447102913, 0.08361451031703743]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
cost_supervised:proposal,dense_control:proposal,hard,0.007240614997969586,"[-0.004599257846056251, 0.03336355317914701]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
cost_supervised:proposal,dense_control:proposal,moving,-0.0020264169066653275,"[-0.02384302714879365, 0.014643244664371355]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
cost_supervised:hard_action,dense_control:proposal,all,0.4982848104607665,"[0.24203237462851981, 1.438712121230199]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
cost_supervised:hard_action,dense_control:proposal,hard,0.021708283687837775,"[0.0021240527335939724, 0.09708528901754776]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
cost_supervised:hard_action,dense_control:proposal,moving,0.03450554597484448,"[0.014407565374096496, 0.069370182575981]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
cost_supervised:hard_action,cost_supervised:proposal,all,0.5022952497702443,"[0.2477045599427471, 1.3851932383899879]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
cost_supervised:hard_action,cost_supervised:proposal,hard,0.014467668689868186,"[-0.003528063424300282, 0.07045313099833199]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
cost_supervised:hard_action,cost_supervised:proposal,moving,0.03653196288150981,"[0.020632773517300772, 0.06481427646440896]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
