trial,site,label,arm,seed,training_rows,training_positive_rate,rows,positives,positive_rate,brier,reference_brier,brier_lift,auroc,auprc,ece
coupa_nonzero_geometry_seed17,coupa,nonzero,geometry,17,11180,0.3862254025044723,4250,2546,0.5990588235294118,0.28313946697883297,0.28548541458614807,0.002345947607315102,0.5544014776008763,0.6280361227972655,0.2115218920876724
coupa_nonzero_geometry_past_box_seed17,coupa,nonzero,geometry_past_box,17,11180,0.3862254025044723,4250,2546,0.5990588235294118,0.3357080221359599,0.28548541458614807,-0.05022260754981184,0.5240586126078282,0.6368179484380234,0.28294242459514113
coupa_nonzero_geometry_seed29,coupa,nonzero,geometry,29,11180,0.3862254025044723,4250,2546,0.5990588235294118,0.2831174549140657,0.28548541458614807,0.002367959672082365,0.5518623985336476,0.6223263691263139,0.21242497542296201
coupa_nonzero_geometry_past_box_seed29,coupa,nonzero,geometry_past_box,29,11180,0.3862254025044723,4250,2546,0.5990588235294118,0.3352330148610279,0.28548541458614807,-0.049747600274879844,0.521053000379865,0.6332982179958302,0.280358915791162
coupa_nonzero_geometry_seed43,coupa,nonzero,geometry,43,11180,0.3862254025044723,4250,2546,0.5990588235294118,0.2827754447494341,0.28548541458614807,0.0027099698367139546,0.5601462433938535,0.6308969218054683,0.21260899877002862
coupa_nonzero_geometry_past_box_seed43,coupa,nonzero,geometry_past_box,43,11180,0.3862254025044723,4250,2546,0.5990588235294118,0.33705692101750045,0.28548541458614807,-0.05157150643135239,0.5189398863724373,0.6335584020438416,0.28284173888484304
coupa_half_box_excursion_geometry_seed17,coupa,half_box_excursion,geometry,17,11180,0.014490161001788909,4250,45,0.010588235294117647,0.01052212041686268,0.010491349591702233,-3.0770825160446325e-05,0.4789747654908178,0.014009939490668628,0.0009224148068862816
coupa_half_box_excursion_geometry_past_box_seed17,coupa,half_box_excursion,geometry_past_box,17,11180,0.014490161001788909,4250,45,0.010588235294117647,0.010466048827911382,0.010491349591702233,2.530076379085068e-05,0.6545382481173206,0.018819743637826934,0.002094733694210994
coupa_half_box_excursion_geometry_seed29,coupa,half_box_excursion,geometry,29,11180,0.014490161001788909,4250,45,0.010588235294117647,0.010523812017636814,0.010491349591702233,-3.246242593458147e-05,0.48808032765226583,0.01388548261067764,0.0008801269180291043
coupa_half_box_excursion_geometry_past_box_seed29,coupa,half_box_excursion,geometry_past_box,29,11180,0.014490161001788909,4250,45,0.010588235294117647,0.010429570477551513,0.010491349591702233,6.177911415071978e-05,0.6849834852688599,0.023420642314997894,0.002324928526687588
coupa_half_box_excursion_geometry_seed43,coupa,half_box_excursion,geometry,43,11180,0.014490161001788909,4250,45,0.010588235294117647,0.010534057116043044,0.010491349591702233,-4.2707524340811556e-05,0.4623437706434139,0.013112361231657984,0.0008282057222543954
coupa_half_box_excursion_geometry_past_box_seed43,coupa,half_box_excursion,geometry_past_box,43,11180,0.014490161001788909,4250,45,0.010588235294117647,0.010455392037990927,0.010491349591702233,3.595755371130563e-05,0.6698797727572995,0.01987334530810296,0.001682343202878354
deathCircle_nonzero_geometry_seed17,deathCircle,nonzero,geometry,17,12376,0.4748707175177763,3054,987,0.3231827111984283,0.2407342737379854,0.2417448976420002,0.0010106239040147957,0.5278352496337241,0.33032280824020643,0.14668786329359218
deathCircle_nonzero_geometry_past_box_seed17,deathCircle,nonzero,geometry_past_box,17,12376,0.4748707175177763,3054,987,0.3231827111984283,0.24191146754512274,0.2417448976420002,-0.00016656990312255426,0.48592074324711815,0.30421307826906463,0.14037506917517886
deathCircle_nonzero_geometry_seed29,deathCircle,nonzero,geometry,29,12376,0.4748707175177763,3054,987,0.3231827111984283,0.23926062994043684,0.2417448976420002,0.0024842677015633474,0.5263436772870735,0.3328635667087696,0.1424191198857442
deathCircle_nonzero_geometry_past_box_seed29,deathCircle,nonzero,geometry_past_box,29,12376,0.4748707175177763,3054,987,0.3231827111984283,0.24071281030671665,0.2417448976420002,0.001032087335283538,0.4957804138855926,0.3067615403666348,0.13983512824022487
deathCircle_nonzero_geometry_seed43,deathCircle,nonzero,geometry,43,12376,0.4748707175177763,3054,987,0.3231827111984283,0.2405322950045555,0.2417448976420002,0.0012126026374446874,0.5180491037576546,0.32245101738187776,0.14469112774298545
deathCircle_nonzero_geometry_past_box_seed43,deathCircle,nonzero,geometry_past_box,43,12376,0.4748707175177763,3054,987,0.3231827111984283,0.24034204622006833,0.2417448976420002,0.001402851421931861,0.5088830167111982,0.3123886671168864,0.14075242053884443
deathCircle_half_box_excursion_geometry_seed17,deathCircle,half_box_excursion,geometry,17,12376,0.011393018745959922,3054,66,0.021611001964636542,0.02122830586843824,0.021248373739778177,2.0067871339936316e-05,0.5453227049612592,0.024074428699400748,0.005672084723277439
deathCircle_half_box_excursion_geometry_past_box_seed17,deathCircle,half_box_excursion,geometry_past_box,17,12376,0.011393018745959922,3054,66,0.021611001964636542,0.021245103798498293,0.021248373739778177,3.2699412798840866e-06,0.5740436493448541,0.023813420159166102,0.0036944680350006615
deathCircle_half_box_excursion_geometry_seed29,deathCircle,half_box_excursion,geometry,29,12376,0.011393018745959922,3054,66,0.021611001964636542,0.021179589316512707,0.021248373739778177,6.87844232654701e-05,0.5883229889253986,0.027098575911308313,0.004791622340857008
deathCircle_half_box_excursion_geometry_past_box_seed29,deathCircle,half_box_excursion,geometry_past_box,29,12376,0.011393018745959922,3054,66,0.021611001964636542,0.021256508177472346,0.021248373739778177,-8.134437694169022e-06,0.549891485132449,0.022580207055819722,0.0033381028392787497
deathCircle_half_box_excursion_geometry_seed43,deathCircle,half_box_excursion,geometry,43,12376,0.011393018745959922,3054,66,0.021611001964636542,0.02121062503943504,0.021248373739778177,3.774870034313829e-05,0.5650480710721675,0.02523392294466261,0.005615738515041692
deathCircle_half_box_excursion_geometry_past_box_seed43,deathCircle,half_box_excursion,geometry_past_box,43,12376,0.011393018745959922,3054,66,0.021611001964636542,0.021269008278601915,0.021248373739778177,-2.063453882373764e-05,0.5580503833515882,0.02265138334709485,0.004114883198593121
gates_nonzero_geometry_seed17,gates,nonzero,geometry,17,13768,0.468041836141778,1662,420,0.2527075812274368,0.2370297275688005,0.23521530095712967,-0.001814426611670833,0.5406257188865885,0.2958737299097548,0.21886890105994128
gates_nonzero_geometry_past_box_seed17,gates,nonzero,geometry_past_box,17,13768,0.468041836141778,1662,420,0.2527075812274368,0.24267956210479005,0.23521530095712967,-0.007464261147660384,0.5341423203742044,0.27096220163801327,0.2308348827694639
gates_nonzero_geometry_seed29,gates,nonzero,geometry,29,13768,0.468041836141778,1662,420,0.2527075812274368,0.23642368244056633,0.23521530095712967,-0.0012083814834366602,0.5504313319530711,0.29486721184319253,0.2202108619269174
gates_nonzero_geometry_past_box_seed29,gates,nonzero,geometry_past_box,29,13768,0.468041836141778,1662,420,0.2527075812274368,0.24148943273408696,0.23521530095712967,-0.006274131776957292,0.5467717199601257,0.2891577231992253,0.22994888853804743
gates_nonzero_geometry_seed43,gates,nonzero,geometry,43,13768,0.468041836141778,1662,420,0.2527075812274368,0.2379478442352511,0.23521530095712967,-0.0027325432781214187,0.5326757917337628,0.2666998071346522,0.2193768292017102
