site,recording,rows,agents,positive_rate,mask_lift,own_prior_lift
bookstore,bookstore/video0,2601,29,0.6155324875048058,0.003712733946350819,-0.017749674759025474
bookstore,bookstore/video1,1662,46,0.463898916967509,-0.033729633598599686,-0.05134662540441372
bookstore,bookstore/video2,729,14,0.46776406035665297,-0.023403884670872982,-0.04079620227890004
bookstore,bookstore/video3,856,32,0.2780373831775701,-0.06658594961319192,-0.09844991986618194
bookstore,bookstore/video4,212,15,0.08490566037735849,0.004591343476171729,0.041310063938395286
bookstore,bookstore/video5,352,17,0.29545454545454547,-0.012563530234876058,-0.03999119033716415
bookstore,bookstore/video6,532,28,0.19172932330827067,-0.048276178621446356,-0.15487322070781057
coupa,coupa/video0,844,28,0.5165876777251185,-0.023057545699004058,-0.03165702085483294
coupa,coupa/video1,454,8,0.5682819383259912,0.005207041013218847,-0.003588278748568817
coupa,coupa/video2,236,7,0.4830508474576271,0.014249919940975252,-0.040877796410176075
coupa,coupa/video3,2716,36,0.6399116347569955,-0.0434674154097702,-0.0477253295983098
deathCircle,deathCircle/video0,695,36,0.2949640287769784,-0.036991446355174054,-0.12744358818358587
deathCircle,deathCircle/video1,1853,101,0.33675121424716675,-0.029775698837700475,-0.07960805507753678
deathCircle,deathCircle/video2,17,1,0.0,-0.024099388925083953,0.0036055561888679415
deathCircle,deathCircle/video3,470,38,0.33617021276595743,-0.009286927324557942,-0.05996648980680589
deathCircle,deathCircle/video4,19,1,0.0,-0.0665290356783254,-0.17482579623689817
gates,gates/video0,34,5,0.3235294117647059,-0.0010702048816411086,0.03316620331288592
gates,gates/video1,367,20,0.26975476839237056,0.008379955440558938,-0.02508486041233322
gates,gates/video2,391,13,0.2813299232736573,-0.04165541994016976,-0.041571294685369756
gates,gates/video3,228,17,0.18859649122807018,0.02140493603001509,0.015924498453997037
gates,gates/video4,206,7,0.2766990291262136,-0.012998401086886428,-0.015358612294868386
gates,gates/video7,25,1,0.0,-0.03852345452013701,-0.23838748354923575
gates,gates/video8,411,15,0.24330900243309003,-0.005254225093456316,-0.01889200289742906
hyang,hyang/video0,900,36,0.5533333333333333,-0.03225007717855654,-0.03333189685633579
hyang,hyang/video1,534,16,0.5973782771535581,-0.03507864611709514,-0.09718432076869653
hyang,hyang/video10,452,4,0.6570796460176991,-0.02016778161328834,-0.08293228806420747
hyang,hyang/video11,561,24,0.14260249554367202,0.03718739111003908,-0.028007995124737055
hyang,hyang/video12,17,1,0.0,0.0026834713694622973,0.1784758662368403
hyang,hyang/video14,215,6,0.39069767441860465,-0.010948897389214516,-0.11098275811357275
hyang,hyang/video2,1007,15,0.6335650446871897,-0.022846463717524232,-0.039823508292462055
hyang,hyang/video3,577,33,0.1611785095320624,0.013051464260546092,-0.023759136180860684
hyang,hyang/video4,844,35,0.5296208530805687,-0.028440272182666867,-0.07979333147960205
hyang,hyang/video5,470,8,0.5574468085106383,-0.06207982370309293,-0.098485985966768
hyang,hyang/video6,656,23,0.25609756097560976,0.0545718331152064,0.047918568019723405
hyang,hyang/video7,191,8,0.06806282722513089,0.026019798138877694,-0.04306849961022724
hyang,hyang/video8,40,2,0.3,-0.07265101255017574,0.025239021076210184
