arm,schedule,mode,group_type,group,rows,ade,cv_ade,gain_percent,harm_over_cv,easy_pixel_harm,actual_changed_rate
mask_only,parent_2k,uncontrolled,recording,bookstore/video0,2601,1083.5966349997357,1074.2519411608769,-0.8698791671496231,9.344693838858886,0.015867372677976964,1.0
mask_only,parent_2k,uncontrolled,recording,bookstore/video1,1662,792.6990770964619,776.3253572015786,-2.1091311449500605,16.37371989488329,0.0238015325466174,1.0
mask_only,parent_2k,uncontrolled,recording,bookstore/video2,729,614.9490259839955,591.3380134598498,-3.992811553919995,23.611012524145817,0.03329541555008838,1.0
mask_only,parent_2k,uncontrolled,recording,bookstore/video3,856,500.0987050534099,477.7487767400338,-4.678175937128093,22.349928313376125,0.027237250709014345,1.0
mask_only,parent_2k,uncontrolled,recording,bookstore/video4,212,576.0977236637199,536.9894501440408,-7.282875577758308,39.10827351967898,0.04068403248199811,1.0
mask_only,parent_2k,uncontrolled,recording,bookstore/video5,352,435.2841010182727,412.81815739601626,-5.442091928312354,22.46594362225645,0.028642454816967488,1.0
mask_only,parent_2k,uncontrolled,recording,bookstore/video6,532,372.87866278913464,358.492541093981,-4.01294867983939,14.386121695153602,0.016369200059117305,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:102,21,8124.038655400948,8116.0014673480055,-0.09902891325583862,8.037188052942012,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:118,12,2653.568119448247,2648.317090678963,-0.19827794744691207,5.2510287692841215,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:125,117,978.2349464348672,972.9146400741182,-0.546842049816787,5.320306360748865,0.010534139234705251,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:128,41,915.5757254508695,907.6779847117049,-0.8701038112842507,7.897740739164743,0.011663025490538716,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:132,46,635.0290591236562,623.8095187055804,-1.7985522954758082,11.219540418075832,0.019751045157407252,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:135,25,9.794488545196128,0.0,,9.794488545196128,0.00979448901040937,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:146,26,26.74364517006997,0.0,,26.74364517006997,0.02674364644032495,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:159,32,2370.162727907247,2364.1932485415587,-0.2524954070218577,5.969479365688077,0.014231559785031824,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:174,47,486.69575150212427,475.0644226520406,-2.4483687465274517,11.631328850083705,0.019687783268699015,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:175,242,754.97543721837,746.0449053210118,-1.1970501820551371,8.930531897358124,0.014694084741314105,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:176,513,554.2801109701022,544.0546100379071,-1.8794989957869657,10.225500932195304,0.015512427550356651,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:177,467,573.4562972975208,564.8616826162682,-1.5215432283253616,8.594614681252631,0.015508557578455916,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:19,13,1958.904524800706,1959.4310052085443,0.026869045474875453,-0.5264804078383349,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:2,5,5305.793461222675,5301.514468504027,-0.08071264813234169,4.278992718648351,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:20,2,9538.270070608969,9537.155630841818,-0.01168524254282488,1.114439767150543,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:205,25,11.336268475333505,0.0,,11.336268475333505,0.011336269013777362,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:21,26,18.38357195021214,0.0,,18.38357195021214,0.01838357282338495,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:219,26,11.861558225413136,0.0,,11.861558225413136,0.011861558788806915,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:222,14,13180.570784629477,13171.510110544199,-0.0687899413904347,9.06067408527735,0.01563193029581188,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:227,137,728.3028570370375,721.3230267185415,-0.9676427980191749,6.979830318495966,0.011624214457058189,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:229,40,3798.828295920517,3791.462068390515,-0.19428461625434768,7.3662275300008915,0.013745264759843355,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:27,35,1003.7736474338035,996.0502471881334,-0.7754026734568154,7.723400245670164,0.009357273689026504,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:31,291,1324.3324854216196,1313.300464654813,-0.8400226044012138,11.032020766806497,0.019949360285428524,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:5,153,1265.2683648624711,1258.226693633538,-0.5596504401442992,7.041671228933223,0.02192071987227979,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:59,20,25.70007519179348,0.0,,25.70007519179348,0.025700076412481555,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:65,61,3737.3909915044414,3729.738865332944,-0.2051651991677561,7.652126171497613,0.011979143390467148,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:73,23,6268.349510991976,6263.850863112686,-0.07181920479273352,4.498647879290016,0.011118486148982277,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:90,140,571.5914034820031,561.4996688461836,-1.7972823842544505,10.091734635819437,0.017360412643958094,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video0:97,1,25081.601497694093,25088.07741474434,0.02581272746887686,-6.475917050247517,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:103,12,1679.7127047235317,1676.7769077603334,-0.17508572247215692,2.9357969631979017,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:110,46,2642.1610159087627,2631.425670098514,-0.40796690296962534,10.735345810249092,0.018684808323469304,1.0
