contrast,mode,subset,point_percent,conditional_recording_ci95,valid_resamples,invalid_zero_denominator_resamples,rows,records,uncertainty_scope
rgb_minus_mask:parent_2k,uncontrolled,all,-0.3353818672203578,"[-0.7498402073305473, -0.199081952826712]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:parent_2k,uncontrolled,hard,-0.021562248554464012,"[-0.054639512910728855, -0.0075711244915572734]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:parent_2k,uncontrolled,moving,-0.09459740248449608,"[-0.18982141666280825, -0.06401287864521688]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:constant,uncontrolled,all,-1.5308559662806405,"[-4.5409331848475185, -0.7898557277937026]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:constant,uncontrolled,hard,-0.06910662448138542,"[-0.4534017269006798, 0.024305932110405246]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:constant,uncontrolled,moving,-0.24927736628651417,"[-0.6599472020955874, -0.15876154328473832]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:cosine,uncontrolled,all,-0.33679989559884055,"[-1.0851179884469284, -0.16693948292060862]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:cosine,uncontrolled,hard,0.003208734491736517,"[-0.05632644657596791, 0.04635568106083397]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:cosine,uncontrolled,moving,-0.033833645763392074,"[-0.15569041731957867, -0.0029039868962653184]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:constant,uncontrolled,all,-2.1533500516290474,"[-6.63377824500334, -1.0656579966680577]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:constant,uncontrolled,hard,-0.05325993045118523,"[-0.23365546485442304, -0.011953071026289182]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:constant,uncontrolled,moving,-0.23262389887597598,"[-0.6720213850576988, -0.12242758124464234]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:cosine,uncontrolled,all,0.33484971215878345,"[-1.2244904333404047, 0.8340102273802628]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:cosine,uncontrolled,hard,-0.007089659917940175,"[-0.16809555359314704, 0.029542079635376608]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:cosine,uncontrolled,moving,0.25447377016390405,"[0.1644891827067411, 0.32843394620658845]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:constant,uncontrolled,all,-3.3488241506893313,"[-10.45329811346754, -1.6616067220830992]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:constant,uncontrolled,hard,-0.10080430637810665,"[-0.6421132681367189, 0.018360814721107604]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:constant,uncontrolled,moving,-0.38730386267799416,"[-1.124213631461754, -0.21958438935827843]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:cosine,uncontrolled,all,0.33343168378030136,"[-1.5602923009378245, 0.8868643698016889]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:cosine,uncontrolled,hard,0.017681323128260353,"[-0.16412451274655138, 0.07609007853535499]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:cosine,uncontrolled,moving,0.3152375268850081,"[0.19697361847446446, 0.41901101530967216]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
rgb_minus_mask:parent_2k,fixed_probability_guard,all,-0.04480085425537338,"[-0.12896890856264212, -0.021756170510895737]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
