model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_prob,residual_mag,physical_validity
gated_residual_all_data,eth_ucy,all,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.04003,0.08056,0.744906,1.0
gated_residual_all_data,eth_ucy,all,10,0.35676,0.63948,0.395439,0.713643,0.103923,-0.052308,0.178446,6,0.04003,0.08056,0.744906,1.0
gated_residual_all_data,eth_ucy,easy,1,0.009014,0.009014,0.009014,0.009014,0.0,0.0,0.0,4,0.043119,0.086739,0.269642,1.0
gated_residual_all_data,eth_ucy,easy,10,0.092598,0.170413,0.108017,0.197401,0.136718,-0.070771,0.225636,4,0.043119,0.086739,0.269642,1.0
gated_residual_all_data,eth_ucy,medium,1,0.234475,0.234475,0.234475,0.234475,0.0,0.0,0.0,2,0.033852,0.068204,1.695434,1.0
gated_residual_all_data,eth_ucy,medium,10,0.885085,1.577613,0.970284,1.746128,0.096508,-0.024967,0.194085,2,0.033852,0.068204,1.695434,1.0
gated_residual_all_data,eth_ucy,extreme,1,0.20025,0.20025,0.20025,0.20025,0.0,,,1,0.058718,0.117936,2.152139,1.0
gated_residual_all_data,eth_ucy,extreme,10,0.86691,1.560752,1.058601,1.936622,0.194085,,,1,0.058718,0.117936,2.152139,1.0
gated_residual_all_data,tgsim,all,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.155318,0.17754,0.716553,1.0
gated_residual_all_data,tgsim,all,10,0.043011,0.112039,0.042997,0.112008,-0.000281,-0.000604,0.000139,4,0.155318,0.17754,0.716553,1.0
gated_residual_all_data,tgsim,all,25,0.405568,1.037244,0.257363,0.75285,-0.377756,-0.288721,-0.00292,4,0.155318,0.17754,0.716553,1.0
gated_residual_all_data,tgsim,all,50,1.367703,3.38756,0.982001,2.62938,-0.288349,-0.252729,0.049545,4,0.155318,0.17754,0.716553,1.0
gated_residual_all_data,tgsim,all,100,2.902592,6.531357,2.659638,6.062032,-0.07742,-0.48869,-0.023025,4,0.155318,0.17754,0.716553,1.0
gated_residual_all_data,tgsim,easy,1,0.000224,0.000224,0.000224,0.000224,0.0,0.0,0.0,2,0.044317,0.04134,0.577825,1.0
gated_residual_all_data,tgsim,easy,10,0.003997,0.010957,0.003985,0.010922,-0.003252,-0.00085,0.00014,2,0.044317,0.04134,0.577825,1.0
gated_residual_all_data,tgsim,easy,25,0.01421,0.021736,0.012411,0.019863,-0.094312,-0.035264,-0.002201,2,0.044317,0.04134,0.577825,1.0
gated_residual_all_data,tgsim,easy,50,0.035869,0.090029,0.027277,0.069851,-0.28888,-0.213388,-0.116445,2,0.044317,0.04134,0.577825,1.0
gated_residual_all_data,tgsim,easy,100,0.104373,0.208527,0.064928,0.129012,-0.616337,-0.570397,-0.406983,2,0.044317,0.04134,0.577825,1.0
gated_residual_all_data,tgsim,medium,1,0.000187,0.000187,0.000187,0.000187,0.0,,,1,0.032445,0.027094,0.145887,1.0
