model,dataset,subset,horizon,FDE,baseline_FDE,improvement,ADE,episodes,alpha,intervention,residual,physical_validity
per_agent_no_scene,aerialmpt,all,1,0.54019,0.514499,-0.049932,0.54019,8,1.0,1.0,0.789213,1.0
per_agent_no_scene,aerialmpt,all,5,2.746454,2.735528,-0.003994,1.558693,8,1.0,1.0,0.789213,0.95
per_agent_no_scene,aerialmpt,hard,1,0.54019,0.514499,-0.049932,0.54019,8,1.0,1.0,0.789213,1.0
per_agent_no_scene,aerialmpt,hard,5,2.746454,2.735528,-0.003994,1.558693,8,1.0,1.0,0.789213,0.95
per_agent_no_scene,aerialmpt,baseline_failure,1,0.54019,0.514499,-0.049932,0.54019,8,1.0,1.0,0.789213,1.0
per_agent_no_scene,aerialmpt,baseline_failure,5,2.746454,2.735528,-0.003994,1.558693,8,1.0,1.0,0.789213,0.95
per_agent_no_scene,aerialmpt,goalbench_official,1,0.54019,0.514499,-0.049932,0.54019,8,1.0,1.0,0.789213,1.0
per_agent_no_scene,aerialmpt,goalbench_official,5,2.746454,2.735528,-0.003994,1.558693,8,1.0,1.0,0.789213,0.95
per_agent_no_scene,aerialmpt,silver,1,0.54019,0.514499,-0.049932,0.54019,8,1.0,1.0,0.789213,1.0
per_agent_no_scene,aerialmpt,silver,5,2.746454,2.735528,-0.003994,1.558693,8,1.0,1.0,0.789213,0.95
per_agent_no_scene,aerialmpt,ge2,1,0.54019,0.514499,-0.049932,0.54019,8,1.0,1.0,0.789213,1.0
per_agent_no_scene,aerialmpt,ge2,5,2.746454,2.735528,-0.003994,1.558693,8,1.0,1.0,0.789213,0.95
per_agent_no_scene,aerialmpt,ge5,1,0.54019,0.514499,-0.049932,0.54019,8,1.0,1.0,0.789213,1.0
per_agent_no_scene,aerialmpt,ge5,5,2.746454,2.735528,-0.003994,1.558693,8,1.0,1.0,0.789213,0.95
per_agent_no_scene,aerialmpt,pixel_space,1,0.54019,0.514499,-0.049932,0.54019,8,1.0,1.0,0.789213,1.0
per_agent_no_scene,aerialmpt,pixel_space,5,2.746454,2.735528,-0.003994,1.558693,8,1.0,1.0,0.789213,0.95
per_agent_no_scene,eth_ucy,all,1,0.787431,0.789101,0.002117,0.787431,31,0.653655,0.892473,0.242256,1.0
per_agent_no_scene,eth_ucy,all,5,2.686094,2.732957,0.017148,1.780649,31,0.653655,0.892473,0.242256,0.951613
per_agent_no_scene,eth_ucy,all,10,5.17195,5.17126,-0.000134,3.0211,31,0.653655,0.892473,0.242256,0.939516
per_agent_no_scene,eth_ucy,hard,1,0.864014,0.865988,0.002279,0.864014,28,0.643258,0.880952,0.24613,1.0
per_agent_no_scene,eth_ucy,hard,5,2.74885,2.799948,0.01825,1.804053,28,0.643258,0.880952,0.24613,0.946429
per_agent_no_scene,eth_ucy,hard,10,5.380309,5.378648,-0.000309,3.085816,28,0.643258,0.880952,0.24613,0.933036
per_agent_no_scene,eth_ucy,baseline_failure,1,0.78458,0.78607,0.001895,0.78458,26,0.635424,0.871795,0.238324,1.0
per_agent_no_scene,eth_ucy,baseline_failure,5,2.891356,2.93439,0.014665,1.889593,26,0.635424,0.871795,0.238324,0.965385
per_agent_no_scene,eth_ucy,baseline_failure,10,5.360199,5.352848,-0.001373,3.198675,26,0.635424,0.871795,0.238324,0.9375
per_agent_no_scene,eth_ucy,goalbench_official,1,0.787431,0.789101,0.002117,0.787431,31,0.653655,0.892473,0.242256,1.0
per_agent_no_scene,eth_ucy,goalbench_official,5,2.686094,2.732957,0.017148,1.780649,31,0.653655,0.892473,0.242256,0.951613
per_agent_no_scene,eth_ucy,goalbench_official,10,5.17195,5.17126,-0.000134,3.0211,31,0.653655,0.892473,0.242256,0.939516
per_agent_no_scene,eth_ucy,silver,1,0.787431,0.789101,0.002117,0.787431,31,0.653655,0.892473,0.242256,1.0
per_agent_no_scene,eth_ucy,silver,5,2.686094,2.732957,0.017148,1.780649,31,0.653655,0.892473,0.242256,0.951613
per_agent_no_scene,eth_ucy,silver,10,5.17195,5.17126,-0.000134,3.0211,31,0.653655,0.892473,0.242256,0.939516
per_agent_no_scene,eth_ucy,ge2,1,0.787431,0.789101,0.002117,0.787431,31,0.653655,0.892473,0.242256,1.0
per_agent_no_scene,eth_ucy,ge2,5,2.686094,2.732957,0.017148,1.780649,31,0.653655,0.892473,0.242256,0.951613
per_agent_no_scene,eth_ucy,ge2,10,5.17195,5.17126,-0.000134,3.0211,31,0.653655,0.892473,0.242256,0.939516
per_agent_no_scene,eth_ucy,ge5,1,1.044328,1.045163,0.000798,1.044328,21,0.698136,0.936508,0.270448,1.0
per_agent_no_scene,eth_ucy,ge5,5,2.682956,2.759664,0.027796,1.97464,21,0.698136,0.936508,0.270448,0.928571
per_agent_no_scene,eth_ucy,ge5,10,5.132736,5.169275,0.007068,3.210393,21,0.698136,0.936508,0.270448,0.910714
per_agent_no_scene,eth_ucy,pedestrian_drone,1,0.787431,0.789101,0.002117,0.787431,31,0.653655,0.892473,0.242256,1.0
per_agent_no_scene,eth_ucy,pedestrian_drone,5,2.686094,2.732957,0.017148,1.780649,31,0.653655,0.892473,0.242256,0.951613
per_agent_no_scene,eth_ucy,pedestrian_drone,10,5.17195,5.17126,-0.000134,3.0211,31,0.653655,0.892473,0.242256,0.939516
per_agent_no_scene,eth_ucy_ewap,all,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,all,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,all,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,all,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,all,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,all,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,hard,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,hard,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,hard,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,hard,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,hard,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,hard,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,baseline_failure,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,baseline_failure,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,baseline_failure,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,baseline_failure,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,baseline_failure,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,baseline_failure,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,goalbench_official,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,goalbench_official,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,goalbench_official,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,goalbench_official,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,goalbench_official,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
