variant,seed,source,feature_dim,t50,hard_failure,easy_degradation,regret,switch_rate,cross_scene,within_scene
full_all_latent,0,fresh_run,541,0.15951749316472863,0.1287691651932833,0.01750671110341684,3.5292815200284124,0.05,0.10481447067214911,0.14993509841348351
full_all_latent,1,fresh_run,541,0.15971551021897878,0.12746001809712681,0.01824093761415746,3.5634097992900013,0.05,0.1022363140316438,0.14984431010615362
full_all_latent,2,fresh_run,541,0.15963826458039343,0.1270311951042965,0.017551832613946328,3.5745783534172175,0.05,0.10328969980012459,0.14797541298240102
no_jepa,0,fresh_run,379,0.1518682890338856,0.12631328142406495,0.018696142486348988,3.5928473503896594,0.05,0.1005097197065119,0.149283966828607
no_jepa,1,fresh_run,379,0.15292299940738086,0.1263079575505166,0.01762339884324482,3.593286343705356,0.05,0.10011187943976341,0.14963634497529632
no_jepa,2,fresh_run,379,0.15274484065184257,0.12610319841092255,0.017470970739328795,3.598773108367622,0.05,0.10055368923574459,0.14879158947989957
no_transformer,0,fresh_run,379,0.15884543315583954,0.12858385900375657,0.0168988040442708,3.5333551645109056,0.05,0.10392328493228653,0.150489902425886
no_transformer,1,fresh_run,379,0.15798748454108036,0.1285383640915042,0.01969831877375583,3.5378160787412525,0.05,0.10404036494904856,0.15003782411901012
no_transformer,2,fresh_run,379,0.159300524518744,0.12781511493954356,0.017360423555777826,3.5542175833830236,0.05,0.1037643819073979,0.14906055063622814
no_scene,0,fresh_run,537,0.1593469886124802,0.128757698181445,0.01706290013027112,3.5295765422704815,0.05,0.10408514996939278,0.150619765951171
no_scene,1,fresh_run,537,0.15980051126724226,0.128063866255541,0.017469179148926983,3.5477267419341207,0.05,0.10207382676788535,0.15119214174138995
no_scene,2,fresh_run,537,0.15985170834135598,0.12854223230716944,0.01758936456843596,3.5358031251123547,0.05,0.10423977534806672,0.14999727856232847
no_goal,0,fresh_run,535,0.1592957623919864,0.12856696278733892,0.01743980419964286,3.5345882793334127,0.05,0.10462676192853482,0.1497143080312786
no_goal,1,fresh_run,535,0.1598025829094335,0.12733582230246454,0.017709922156355917,3.5666050974473356,0.05,0.10220953699320678,0.14962775481031365
no_goal,2,fresh_run,535,0.1594357213817621,0.12750625113587732,0.017402272245153005,3.5623561548599603,0.05,0.10383726555662809,0.14837219482970965
no_interaction,0,fresh_run,531,0.15871336351250276,0.12817864096163134,0.016913339761477797,3.5441913323524594,0.05,0.10443491683356809,0.14917144998938892
no_interaction,1,fresh_run,531,0.16009819421147609,0.12758455419637937,0.018091377245364137,3.559764260211289,0.05,0.10221711587611482,0.1501396093922316
no_interaction,2,fresh_run,531,0.15936942161770074,0.12686177594274017,0.017402272245153005,3.578937154262364,0.05,0.10335715510134136,0.14757919479606163
no_failure_hidden,0,fresh_run,539,0.15953763737418236,0.12838358309878606,0.01750671110341684,3.539201741235554,0.05,0.10402143939242536,0.1499510037383761
no_failure_hidden,1,fresh_run,539,0.1594251288194063,0.12733985262104708,0.01824093761415746,3.566501405775845,0.05,0.10197784746106142,0.14986024220313587
no_failure_hidden,2,fresh_run,539,0.15901040901534702,0.127047681172477,0.01758936456843596,3.574154201348126,0.05,0.10297888924185294,0.1483089284455339
no_simulation_curriculum,0,fresh_run,541,0.15951749316472863,0.1287691651932833,0.01750671110341684,3.5292815200284124,0.05,0.10481447067214911,0.14993509841348351
no_simulation_curriculum,1,fresh_run,541,0.15971551021897878,0.12746001809712681,0.01824093761415746,3.5634097992900013,0.05,0.1022363140316438,0.14984431010615362
no_simulation_curriculum,2,fresh_run,541,0.15963826458039343,0.1270311951042965,0.017551832613946328,3.5745783534172175,0.05,0.10328969980012459,0.14797541298240102
no_fallback,0,fresh_run,541,0.19555357822353026,0.16365680526686988,0.05325991248647233,2.6091542296609282,0.71422,0.14373189475245796,0.18204090518896554
no_fallback,1,fresh_run,541,0.19675098346651987,0.1634121321646247,0.053428699791652656,2.6152916738137604,0.71509,0.14282800921594663,0.18245138421042972
no_fallback,2,fresh_run,541,0.19530627170871306,0.16309896696958404,0.05127685983039898,2.6231724593791363,0.71543,0.14355705243518835,0.18114646269160173
no_stage26_features,0,fresh_run,484,0.15955155010128863,0.1295467241400471,0.018036149419824232,3.509471394458711,0.05,0.10706064347898858,0.14926102569857236
no_stage26_features,1,fresh_run,484,0.15815031853870742,0.1285097486335418,0.018215352346989677,3.5361506063768267,0.05,0.105884064490267,0.1483768066301384
no_stage26_features,2,fresh_run,484,0.16010527225978055,0.12778580337481438,0.01852508190349922,3.5552644601783157,0.05,0.10679013360323075,0.146047701465431
latent_only,0,fresh_run,480,0.15936489720448999,0.12959311179255784,0.018036149419824232,3.5082779371359942,0.05,0.10672054318187474,0.14968132517274035
latent_only,1,fresh_run,480,0.15776961466717276,0.12800191344148337,0.018215352346989677,3.549216144206226,0.05,0.10463221743486806,0.14859880135104253
latent_only,2,fresh_run,480,0.15941037297618044,0.12756676209443996,0.017753323438268742,3.560899934402406,0.05,0.10601625691283789,0.14637023826007012
stage26_only,0,fresh_run,57,0.09989184674761598,0.08014713773742399,0.043792056088449716,4.780087354385555,0.05,0.054287257161797386,0.1039870452713757
stage26_only,1,fresh_run,57,0.10092336512356648,0.0810685358039458,0.0438542084618283,4.756463957292736,0.05,0.05503715454896374,0.10505299338121277
stage26_only,2,fresh_run,57,0.09958936664754314,0.07817697946410451,0.044736357077838074,4.831664709772766,0.05,0.05257325245297895,0.10173414189047625
