model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_prob,intervention_rate,false_intervention_rate,residual_mag
goal_only_residual,eth_ucy,all,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.158914,0.159414,0.25,0.083333,0.519559
goal_only_residual,eth_ucy,all,10,0.327965,0.569134,0.395439,0.713643,0.202495,-0.096035,0.192544,6,0.158914,0.159414,0.25,0.083333,0.519559
goal_only_residual,eth_ucy,easy,1,0.0,0.0,0.0,0.0,0.0,,,1,0.040886,0.041386,0.0,0.0,0.180661
goal_only_residual,eth_ucy,easy,10,0.01564,0.028436,0.0,0.0,-0.284361,,,1,0.040886,0.041386,0.0,0.0,0.180661
goal_only_residual,eth_ucy,medium,1,0.012018,0.012018,0.012018,0.012018,0.0,0.0,0.0,3,0.165071,0.165571,0.166667,0.166667,0.275787
goal_only_residual,eth_ucy,medium,10,0.146694,0.248834,0.144023,0.263202,0.054587,-0.081969,0.104227,3,0.165071,0.165571,0.166667,0.166667,0.275787
goal_only_residual,eth_ucy,hard,1,0.234475,0.234475,0.234475,0.234475,0.0,0.0,0.0,2,0.208692,0.209192,0.5,0.0,1.054667
goal_only_residual,eth_ucy,hard,10,0.756033,1.319933,0.970284,1.746128,0.24408,0.095267,0.363617,2,0.208692,0.209192,0.5,0.0,1.054667
goal_only_residual,eth_ucy,baseline_failure,1,0.234475,0.234475,0.234475,0.234475,0.0,0.0,0.0,2,0.208692,0.209192,0.5,0.0,1.054667
goal_only_residual,eth_ucy,baseline_failure,10,0.756033,1.319933,0.970284,1.746128,0.24408,0.095267,0.363617,2,0.208692,0.209192,0.5,0.0,1.054667
goal_only_residual,eth_ucy,pedestrian_drone,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.158914,0.159414,0.25,0.083333,0.519559
goal_only_residual,eth_ucy,pedestrian_drone,10,0.327965,0.569134,0.395439,0.713643,0.202495,-0.096035,0.192544,6,0.158914,0.159414,0.25,0.083333,0.519559
goal_only_residual,eth_ucy,scene_grounded,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.158914,0.159414,0.25,0.083333,0.519559
goal_only_residual,eth_ucy,scene_grounded,10,0.327965,0.569134,0.395439,0.713643,0.202495,-0.096035,0.192544,6,0.158914,0.159414,0.25,0.083333,0.519559
goal_only_residual,tgsim,all,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,all,10,0.043,0.112039,0.042997,0.112008,-0.000276,-0.000956,0.000564,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,all,25,0.262458,0.763173,0.257363,0.75285,-0.013712,-0.104016,0.002677,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,all,50,0.99547,2.651419,0.982001,2.62938,-0.008382,-0.308906,0.239822,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,all,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,medium,1,0.000224,0.000224,0.000224,0.000224,0.0,0.0,0.0,2,0.0082,0.496301,0.0,0.0,0.78915
goal_only_residual,tgsim,medium,10,0.004008,0.011017,0.003985,0.010922,-0.000956,-0.001223,-0.000688,2,0.0082,0.496301,0.0,0.0,0.78915
goal_only_residual,tgsim,medium,25,0.017733,0.030264,0.012411,0.019863,-0.104016,-0.122479,-0.085553,2,0.0082,0.496301,0.0,0.0,0.78915
goal_only_residual,tgsim,medium,50,0.045337,0.104624,0.027277,0.069851,-0.347728,-0.393117,-0.224695,2,0.0082,0.496301,0.0,0.0,0.78915
goal_only_residual,tgsim,medium,100,0.064928,0.129012,0.064928,0.129012,0.0,0.0,0.0,2,0.0082,0.496301,0.0,0.0,0.78915
goal_only_residual,tgsim,hard,1,0.002428,0.002428,0.002428,0.002428,0.0,0.0,0.0,2,0.0082,0.568456,0.0,0.0,0.965498
goal_only_residual,tgsim,hard,10,0.081991,0.213061,0.08201,0.213094,0.000158,-7.3e-05,0.000981,2,0.0082,0.568456,0.0,0.0,0.965498
goal_only_residual,tgsim,hard,25,0.507183,1.496083,0.502315,1.485838,-0.006895,-0.007359,0.012712,2,0.0082,0.568456,0.0,0.0,0.965498
goal_only_residual,tgsim,hard,50,1.945604,5.198215,1.936726,5.18891,-0.001793,-0.005643,0.394661,2,0.0082,0.568456,0.0,0.0,0.965498
goal_only_residual,tgsim,hard,100,5.254347,11.995052,5.254347,11.995052,0.0,0.0,0.0,2,0.0082,0.568456,0.0,0.0,0.965498
goal_only_residual,tgsim,baseline_failure,1,0.004669,0.004669,0.004669,0.004669,0.0,,,1,0.0082,0.6004,0.0,0.0,1.158325
